年月日,open,high,low,close,adj close,volume,MA3,MA5,MA5volume,MA20,MA10,volume_chage,adj close-MA5 distance,adj close-MA10 distance,adj close-MA20 distance,adj close-MA3 distance,MA20-MA10 distance,MA20-MA5 distance,MA10-MA5 distance,MA10-MA3 distance,MA20-MA3 distance,MA5-MA3 distance,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2023-08-18,111.0,116.0,110.5,113.0,113.0,25257783.0,111.16666666666669,110.7,16775353.2,112.4,112.95,0.5056483579731723,2.299999999999997,0.0499999999999971,0.5999999999999943,1.8333333333333288,-0.5499999999999972,1.7000000000000028,2.25,1.7833333333333314,1.2333333333333345,-0.4666666666666685,503113.0,118739.0,384.0,4.24,-0.0099999999999997,214887.0,42.71,-0.2100000000000008,82.0,20.0,8.0,8.0,46.0,38.17,0.8500000000000014,113.0,-0.0131004366812227
2023-08-21,113.0,115.5,112.5,113.5,113.5,13679802.0,112.16666666666669,111.7,15209635.4,112.45,112.65,-0.1005831737426132,1.7999999999999972,0.8499999999999943,1.0499999999999972,1.3333333333333286,-0.2000000000000028,0.75,0.9500000000000028,0.4833333333333343,0.2833333333333314,-0.4666666666666685,503113.0,118739.0,384.0,4.24,-0.0099999999999997,214887.0,42.71,-0.2100000000000008,82.0,20.0,8.0,8.0,46.0,38.17,0.8500000000000014,113.0,-0.0131004366812227
2023-08-22,113.5,114.5,110.0,110.0,110.0,18030045.0,112.16666666666669,111.4,15942483.6,112.65,112.15,0.1309432991983758,-1.4000000000000057,-2.1500000000000057,-2.6500000000000057,-2.1666666666666714,0.5,1.25,0.75,-0.0166666666666657,0.4833333333333343,-0.7666666666666657,503113.0,118739.0,384.0,4.24,-0.0099999999999997,214887.0,42.71,-0.2100000000000008,82.0,20.0,8.0,8.0,46.0,38.17,0.8500000000000014,113.0,-0.0131004366812227
2023-08-23,110.0,111.5,109.0,110.0,110.0,9152809.0,111.16666666666669,111.3,15730776.0,112.575,111.55,-0.4181590914523225,-1.2999999999999972,-1.5499999999999972,-2.575000000000003,-1.1666666666666714,1.0250000000000057,1.2750000000000057,0.25,0.3833333333333257,1.4083333333333314,0.1333333333333257,503113.0,118739.0,384.0,4.24,-0.0099999999999997,214887.0,42.71,-0.2100000000000008,82.0,20.0,8.0,8.0,46.0,38.17,0.8500000000000014,113.0,-0.0131004366812227
2023-08-24,111.5,117.0,110.5,115.0,115.0,29395750.0,111.66666666666669,112.3,19103237.8,112.925,111.65,0.5387836505914195,2.700000000000003,3.3499999999999943,2.075000000000003,3.3333333333333286,1.2749999999999917,0.625,-0.6499999999999915,-0.0166666666666657,1.2583333333333258,0.6333333333333258,503113.0,118739.0,384.0,4.24,-0.0099999999999997,214887.0,42.71,-0.2100000000000008,82.0,20.0,8.0,8.0,46.0,38.17,0.8500000000000014,113.0,-0.0131004366812227
2023-08-25,114.0,116.0,112.5,113.5,113.5,12387784.0,112.83333333333331,112.4,16529238.0,113.075,111.55,-0.2505532317944723,1.0999999999999943,1.9500000000000028,0.4249999999999971,0.6666666666666714,1.5250000000000057,0.6749999999999972,-0.8500000000000085,-1.2833333333333314,0.2416666666666742,-0.4333333333333229,503113.0,117534.0,-1205.0,4.28,0.04,220362.0,43.8,1.0899999999999963,81.0,19.0,8.0,9.0,45.0,39.16,0.9899999999999948,113.5,0.0044247787610619
2023-08-28,114.5,115.0,111.5,112.0,112.0,7821010.0,113.5,112.1,15357479.6,113.05,111.9,-0.4907360970871808,-0.0999999999999943,0.0999999999999943,-1.0499999999999972,-1.5,1.1499999999999917,0.9500000000000028,-0.1999999999999886,-1.5999999999999943,-0.4500000000000028,-1.4000000000000057,503113.0,117534.0,-1205.0,4.28,0.04,220362.0,43.8,1.0899999999999963,81.0,19.0,8.0,9.0,45.0,39.16,0.9899999999999948,113.5,0.0044247787610619
2023-08-29,113.0,114.0,111.5,113.5,113.5,5187304.0,113.0,112.8,12788931.4,112.875,112.1,-0.5943911310682298,0.7000000000000028,1.4000000000000057,0.625,0.5,0.7750000000000057,0.0750000000000028,-0.7000000000000028,-0.9000000000000057,-0.125,-0.2000000000000028,503113.0,117534.0,-1205.0,4.28,0.04,220362.0,43.8,1.0899999999999963,81.0,19.0,8.0,9.0,45.0,39.16,0.9899999999999948,113.5,0.0044247787610619
2023-08-30,114.0,114.5,112.5,112.5,112.5,4644818.0,112.66666666666669,113.3,11887333.2,112.8,112.3,-0.6092632450144495,-0.7999999999999972,0.2000000000000028,-0.2999999999999971,-0.1666666666666714,0.5,-0.5,-1.0,-0.3666666666666742,0.1333333333333257,0.6333333333333258,503113.0,117534.0,-1205.0,4.28,0.04,220362.0,43.8,1.0899999999999963,81.0,19.0,8.0,9.0,45.0,39.16,0.9899999999999948,113.5,0.0044247787610619
2023-08-31,113.0,114.5,112.5,113.5,113.5,4783205.0,113.16666666666669,113.0,6964824.2,112.95,112.65,-0.3132339219703492,0.5,0.8499999999999943,0.5499999999999972,0.3333333333333286,0.2999999999999971,-0.0499999999999971,-0.3499999999999943,-0.5166666666666657,-0.2166666666666685,-0.1666666666666714,503113.0,117534.0,-1205.0,4.28,0.04,220362.0,43.8,1.0899999999999963,81.0,19.0,8.0,9.0,45.0,39.16,0.9899999999999948,113.5,0.0044247787610619
2023-09-01,114.5,116.0,111.0,111.5,111.5,18387491.0,112.5,112.6,8164765.6,112.725,112.5,1.2520537515492178,-1.0999999999999943,-1.0,-1.2249999999999943,-1.0,0.2249999999999943,0.125,-0.0999999999999943,0.0,0.2249999999999943,0.0999999999999943,503113.0,117867.0,333.0,4.27,-0.0100000000000006,217037.0,43.14,-0.6599999999999966,83.0,22.0,7.0,8.0,46.0,38.6,-0.5599999999999952,111.5,-0.0176211453744493
2023-09-04,111.5,111.5,110.0,110.5,110.5,6646116.0,111.83333333333331,112.3,7929786.8,112.425,112.2,-0.1618796106851195,-1.7999999999999972,-1.7000000000000028,-1.9249999999999967,-1.3333333333333286,0.2249999999999943,0.125,-0.0999999999999943,0.3666666666666742,0.5916666666666686,0.4666666666666685,503113.0,117867.0,333.0,4.27,-0.0100000000000006,217037.0,43.14,-0.6599999999999966,83.0,22.0,7.0,8.0,46.0,38.6,-0.5599999999999952,111.5,-0.0176211453744493
2023-09-05,110.5,111.5,110.0,110.5,110.5,4126849.0,110.83333333333331,111.7,7717695.8,112.2,112.25,-0.465274467024212,-1.2000000000000028,-1.75,-1.7000000000000028,-0.3333333333333286,-0.0499999999999971,0.5,0.5499999999999972,1.4166666666666714,1.3666666666666742,0.8666666666666742,503113.0,117867.0,333.0,4.27,-0.0100000000000006,217037.0,43.14,-0.6599999999999966,83.0,22.0,7.0,8.0,46.0,38.6,-0.5599999999999952,111.5,-0.0176211453744493
2023-09-06,112.0,112.0,110.5,110.5,110.5,4573765.0,110.5,111.3,7703485.2,111.925,112.3,-0.406273280047322,-0.7999999999999972,-1.7999999999999972,-1.4249999999999972,0.0,-0.375,0.625,1.0,1.7999999999999972,1.4249999999999972,0.7999999999999972,503113.0,117867.0,333.0,4.27,-0.0100000000000006,217037.0,43.14,-0.6599999999999966,83.0,22.0,7.0,8.0,46.0,38.6,-0.5599999999999952,111.5,-0.0176211453744493
2023-09-07,111.0,111.0,108.0,108.5,108.5,8549053.0,109.83333333333331,110.3,8456654.8,111.65,111.65,0.0109260933767805,-1.7999999999999972,-3.1500000000000057,-3.1500000000000057,-1.3333333333333286,0.0,1.3500000000000083,1.3500000000000083,1.816666666666677,1.816666666666677,0.4666666666666685,503113.0,117867.0,333.0,4.27,-0.0100000000000006,217037.0,43.14,-0.6599999999999966,83.0,22.0,7.0,8.0,46.0,38.6,-0.5599999999999952,111.5,-0.0176211453744493
2023-09-08,108.5,108.5,106.0,107.0,107.0,7287071.0,108.66666666666669,109.4,6236570.8,111.275,111.0,0.1684419585198969,-2.4000000000000057,-4.0,-4.275000000000006,-1.6666666666666714,0.2750000000000057,1.875,1.5999999999999943,2.3333333333333286,2.6083333333333343,0.7333333333333343,503113.0,120434.0,2567.0,4.18,-0.0899999999999998,208247.0,41.39,-1.75,82.0,25.0,7.0,7.0,43.0,36.75,-1.8500000000000012,107.0,-0.0403587443946188
2023-09-11,107.5,108.5,103.5,103.5,103.5,11205945.0,106.33333333333331,108.0,7148536.6,111.025,110.15,0.5675858748488468,-4.5,-6.650000000000006,-7.525000000000006,-2.8333333333333286,0.875,3.0250000000000057,2.1500000000000057,3.816666666666677,4.691666666666677,1.6666666666666714,503113.0,120434.0,2567.0,4.18,-0.0899999999999998,208247.0,41.39,-1.75,82.0,25.0,7.0,7.0,43.0,36.75,-1.8500000000000012,107.0,-0.0403587443946188
2023-09-12,104.0,105.0,101.0,104.0,104.0,9079756.0,104.83333333333331,106.7,8139118.0,110.65,109.2,0.1155700163088924,-2.700000000000003,-5.200000000000003,-6.650000000000006,-0.8333333333333286,1.4500000000000028,3.950000000000003,2.5,4.366666666666674,5.816666666666677,1.8666666666666745,503113.0,120434.0,2567.0,4.18,-0.0899999999999998,208247.0,41.39,-1.75,82.0,25.0,7.0,7.0,43.0,36.75,-1.8500000000000012,107.0,-0.0403587443946188
2023-09-13,104.0,104.0,101.5,103.0,103.0,6789021.0,103.5,105.2,8582169.2,110.275,108.25,-0.2089388076851245,-2.200000000000003,-5.25,-7.275000000000006,-0.5,2.0250000000000057,5.075000000000003,3.049999999999997,4.75,6.775000000000006,1.7000000000000028,503113.0,120434.0,2567.0,4.18,-0.0899999999999998,208247.0,41.39,-1.75,82.0,25.0,7.0,7.0,43.0,36.75,-1.8500000000000012,107.0,-0.0403587443946188
2023-09-14,103.5,104.5,103.0,104.0,104.0,3434762.0,103.66666666666669,104.3,7559311.0,109.975,107.3,-0.5456249914840122,-0.2999999999999971,-3.299999999999997,-5.974999999999994,0.3333333333333286,2.674999999999997,5.674999999999997,3.0,3.6333333333333258,6.308333333333323,0.6333333333333258,503113.0,120434.0,2567.0,4.18,-0.0899999999999998,208247.0,41.39,-1.75,82.0,25.0,7.0,7.0,43.0,36.75,-1.8500000000000012,107.0,-0.0403587443946188
2023-09-15,104.5,105.0,102.0,103.5,103.5,6055357.0,103.5,103.6,7312968.2,109.5,106.5,-0.1719700080194523,-0.0999999999999943,-3.0,-6.0,0.0,3.0,5.900000000000006,2.9000000000000057,3.0,6.0,0.0999999999999943,503113.0,120015.0,-419.0,4.19,0.0100000000000006,208826.0,41.51,0.1199999999999974,78.0,19.0,9.0,4.0,46.0,37.75,1.0,103.5,-0.0327102803738317
