年月日,open_y,high_y,low_y,close_y,open_y_2day,5,6,7,8,9,10,11
2023-08-31,0.8465085,1.918808,-2.3330684,-0.64811736,0.47645155,2.0977807,-1.8070337,0.022454545,1.2784092,1.8284026,-1.0334301,-0.5424863
2023-09-01,1.0516691,1.7931426,-2.5682876,-0.18152538,0.1705211,1.7807977,-0.34574437,1.3541181,2.151692,3.702747,1.4377393,2.1153982
2023-09-04,0.72209173,1.6964806,-2.399456,-0.47368544,-0.4217602,1.8556665,-0.63834876,1.3914284,1.5250436,2.8070467,1.1439594,1.989708
2023-09-05,0.9537565,1.7352018,-1.974025,-0.44983095,-0.7734103,2.8288274,-0.28145528,0.19815375,2.1148446,3.0835419,0.6046699,2.591866
2023-09-06,0.6614081,1.3376448,-2.6546512,-1.3246106,-1.2533307,2.4487638,-0.54780126,0.33426198,2.2334094,3.6711512,1.5224327,2.6902874
2023-09-07,0.14926341,1.3590673,-0.7378911,-0.6344748,-0.3712394,1.1879419,-0.87519455,-0.06111384,-0.6694408,1.6445115,-2.519418,-0.73731536
2023-09-08,0.067391425,0.6193441,-1.0473908,-1.6509684,-0.96861404,0.61256254,-1.7543939,-1.8328123,-0.9581627,3.2120852,-1.4363331,-0.7568894
2023-09-11,-0.43955597,1.8349967,-1.3784533,0.55394495,0.4957111,1.7764958,-0.23107748,-0.27424052,0.39358717,4.0327053,-0.1608143,-0.23499145
2023-09-12,0.65072185,1.5894502,-0.8617777,-0.22776596,-0.10067404,0.98259777,-1.700339,-0.9914308,-1.7478921,2.084756,-2.2394443,-2.1997135
2023-09-13,0.23352903,1.0794858,-1.1467688,-0.7883819,-0.19995108,-0.27499628,-2.234758,-2.4848537,-3.194455,0.27707362,-3.5196252,-3.330321
2023-09-14,0.33209482,1.1498346,-0.6979501,0.19239374,0.16262592,1.1276509,-1.0417447,-0.9212925,-1.8846221,-1.5154256,-2.770495,-2.4265254
2023-09-15,0.22176398,0.9592874,-0.18469189,0.21235985,-0.43949395,2.2852619,-0.5422837,-1.5682317,1.2873679,-0.005500523,-1.2780279,0.3196063
2023-09-18,0.24318232,1.3207868,-1.3843058,-0.3135235,-1.1780863,1.4158179,-1.2802423,-2.2572584,0.8172369,0.9168666,-1.017055,0.2544006
2023-09-19,0.27366698,1.0303825,-1.0620115,-0.40405715,-1.0941594,0.7086593,-1.3359437,-1.874943,0.40198272,0.0787832,-0.5096921,0.398063
2023-09-20,0.36419505,0.8181322,-0.72492695,0.3210201,-0.2916627,0.9485241,-0.42634472,-1.9687233,1.3480047,0.4537335,-0.23714612,0.3595236
2023-09-21,0.24667901,1.7996693,-0.7278464,-0.17362429,0.8894079,1.7216676,1.4320465,2.5083065,-0.31187007,1.1694012,-1.160797,-1.7041965
2023-09-22,0.4433127,0.83044213,-1.0568705,-0.7394674,0.043722857,0.49167946,-0.5633707,0.9685015,-0.5470422,2.3694608,-1.1390959,-0.10696515
2023-09-25,0.47943917,0.72259426,-1.209858,-0.12824701,0.092139155,1.0888187,-0.5499685,1.0043535,-0.4766981,1.0457559,-1.0057113,-0.12411692
2023-09-26,0.2750168,1.0876616,-0.97475255,-0.76636106,0.32511786,1.438947,0.9745829,1.6393051,0.8648679,2.5424166,-0.04888608,0.90742207
2023-09-27,0.23532706,0.117625125,-1.7575082,-0.7300026,-0.6523021,0.46935028,-0.87519413,0.6698487,-0.24243729,1.4979869,-1.0448462,-0.016267447
2023-09-28,-0.42952287,1.8552132,-1.3346974,-0.19565478,1.4807009,2.210781,-0.81533325,0.59360796,-1.0896182,-0.28112745,-2.489888,-0.84983003
2023-10-02,0.19816299,1.3224069,-0.8781185,-0.31497532,-1.0891602,0.38533843,-2.9585469,-1.4880234,-1.8626554,-0.75971377,-2.6243513,-0.8511098
