年月日,open_y,high_y,low_y,close_y,open_y_2day,5,6,7,8,9,10,11
2023-08-18,1.8378047,2.4954479,-1.1953776,-0.6266639,1.1288862,1.5066642,-0.7268313,-0.12881166,-0.90192646,1.8101192,-1.2816685,-0.58229464
2023-08-21,2.112011,1.9524765,-0.85947984,-0.5268768,1.746717,2.5090833,-0.707354,-2.29071,-0.84610933,2.6663725,-2.4957829,0.39434794
2023-08-22,2.3363473,3.1375456,0.07196821,-0.5895086,2.3507874,2.8363905,-0.94295734,-0.649192,0.9984222,4.320799,-1.0956811,0.42687935
2023-08-23,2.1937857,1.6936184,-1.0038569,0.22531751,1.8581795,2.6809928,-2.2527947,-0.8270081,-0.2895785,3.510268,-0.71846604,0.15148908
2023-08-24,1.7653859,1.6516649,-1.1594291,-0.29414135,1.156441,1.5322903,-1.3730607,-1.4212754,-2.1176426,3.4104288,-3.2506568,-0.60378104
2023-08-25,0.97612596,1.6653702,-1.1573437,0.26297688,-0.08358687,1.7630352,-1.1544722,0.2634164,2.1711843,6.539886,0.43367636,3.2649736
2023-08-28,1.3472952,1.6936517,-0.86591655,-1.0070237,0.9255724,3.0089307,-2.5647461,-0.015404046,2.8551774,6.125962,0.20665085,3.0339365
2023-08-29,0.88385487,1.868995,-0.2569853,-0.289779,0.13696688,1.8226352,-1.1625057,0.6562478,1.2986782,4.814963,0.27571708,2.8234904
2023-08-30,0.13253991,4.8889256,-0.6522839,1.7660275,1.8817849,1.6028758,-2.7320776,-0.40229666,5.4540367,6.126261,0.32423604,-2.4185932
2023-08-31,0.7360383,2.8728206,-3.7331336,-0.7800158,-0.73988783,3.5062268,-2.013674,0.7203555,-1.7843211,0.77704346,-6.068363,-1.2888123
2023-09-01,0.66280746,3.128523,-1.5098795,0.20012262,1.4506932,3.506957,-4.0871816,-3.5181167,1.085422,5.83334,-5.5021186,-0.26338422
2023-09-04,1.4001888,4.541641,-2.6849763,0.8505016,-0.0033638133,3.4279017,-1.8831267,-2.7185404,2.3673956,4.966967,-4.2263765,0.18792132
2023-09-05,0.7592082,2.4920464,-2.2416525,-0.5945004,0.29134247,3.2236915,-1.1299475,-0.68572986,1.2478324,3.5789135,-6.026648,-1.5335736
2023-09-06,1.2323389,2.573207,-1.4527777,0.89535975,1.7063547,4.626532,-0.48430339,-0.39064494,2.126996,4.7243967,-4.8699145,-0.57808954
2023-09-07,0.47628677,3.7388406,-1.8767308,-1.6768452,0.3103424,2.0058367,-4.525318,-3.4541037,-1.625184,-4.6411843,-9.381341,-5.030547
2023-09-08,0.25298947,3.5368874,-3.6970909,-1.0323511,-0.8327089,3.921508,-4.8044834,-1.1961877,1.6212479,8.72069,1.2940308,2.8311987
2023-09-11,0.37651235,6.197944,-2.6217985,-1.366153,-1.3611255,6.0625973,-3.3924186,-2.9320703,0.2429532,7.738679,1.8113688,2.582025
2023-09-12,0.32674962,6.573021,-3.0715957,-1.6301246,-0.8008744,4.158298,-1.8835515,-1.9849625,2.2036607,8.595438,0.8598036,2.1744869
2023-09-13,0.7695605,3.5175867,-0.9717884,1.1955457,1.8346747,5.1159472,0.7797941,-0.04461111,4.623189,7.6044207,3.116736,2.6355245
2023-09-14,1.1372823,4.3783846,-0.9306316,0.71845615,1.8679644,6.373637,-0.47798875,1.0131317,1.6688038,6.354317,1.8648604,2.15366
2023-09-15,0.70143723,5.816312,-0.29701152,0.99702036,1.9710935,4.3531303,-0.46334586,2.9584534,3.0881717,-0.2064046,3.7151353,0.20707966
