年月日,open_y,high_y,low_y,close_y,open_y_2day,5,6,7,8,9,10,11
2023-08-11,-0.071744926,0.8381064,-0.6630541,0.077614725,-0.20371915,1.2962317,-0.40521327,-0.31308812,-1.2964753,0.13212565,-1.7425991,-1.3264267
2023-08-14,0.17362362,1.2477742,-0.33226627,0.4713787,0.040342703,1.0218507,0.17713106,0.24243744,-1.0296712,0.81118745,-1.1731039,-1.4559577
2023-08-15,0.49412888,1.1352296,-0.11087577,0.89087427,-0.09279463,1.6070623,-0.25922585,-0.04143619,-0.57651085,0.53581786,-1.4925987,-1.0970111
2023-08-16,-0.026166108,0.44236845,-0.6040932,-0.39533234,-0.6419217,0.5283843,-0.69626284,-1.5514355,-1.27376,-0.1627671,-2.1895082,-1.2742414
2023-08-17,-0.030164564,0.2098785,-0.65837675,-0.49613178,-1.0995548,0.122195035,-0.8442736,-1.4013257,-1.5425639,-0.5271489,-2.4163153,-1.601063
2023-08-18,0.16566946,0.4689803,-0.59960854,-0.50333303,-0.25132215,0.8937539,-1.1855706,-0.6063655,-0.31182912,-0.116720535,-0.52633435,-0.45348987
2023-08-21,0.19711848,0.2642603,-0.57267,-0.58645695,0.10807757,1.2061206,-1.2298311,-0.35539013,-0.57674515,0.2437498,-0.30111888,-0.35933593
2023-08-22,-0.024837002,0.062050063,-0.9504351,-0.48396465,-0.13489704,0.8428248,-1.0101045,-0.77661955,-0.70152664,-0.6065412,-0.8609156,-0.42896706
2023-08-23,0.6156008,1.2864007,0.13269776,0.43793607,1.0639434,1.8204819,-0.4018701,0.39563003,-0.71098024,-0.95767576,-1.0493737,-0.52248895
2023-08-24,0.5762566,0.7958656,-0.06686709,0.93581825,0.21945195,1.4899427,-0.52251387,0.5236716,-0.88522303,-1.0573936,-1.4120302,-1.0317876
2023-08-25,0.27293876,0.9184469,-0.013289878,0.46554142,1.0577222,1.5526127,1.0006626,0.844886,1.4218577,3.739763,0.7169913,2.3489919
2023-08-28,0.40608957,1.0252858,-0.4589629,-0.24013273,-0.4669656,-0.09076278,-1.2859933,-1.3042128,1.4083942,2.7324414,0.5513731,2.4134405
2023-08-29,-0.08431268,0.9620833,-0.04941823,-0.18378821,0.04206332,0.8037225,-0.47052294,0.051626287,2.627359,3.2356665,1.0242695,2.274504
2023-08-30,0.16867386,0.8967588,-0.33196124,0.14186889,0.20492782,0.5636523,-0.05273868,-0.07516778,2.4230244,2.7138693,0.98423314,1.356442
2023-08-31,0.61353326,1.0055702,-0.41459158,0.27238095,1.2761958,1.011666,0.5006499,0.6331563,2.8960807,4.2589803,1.643062,2.8894975
2023-09-01,0.37283507,1.0256859,-0.12699442,0.47165835,0.13087693,1.0765717,-0.48625636,0.12047818,1.4255242,2.5895288,1.0943807,1.7298852
2023-09-04,-0.16895683,1.4023066,0.074123636,0.7797259,0.66942304,1.4496161,-0.2606848,-0.17013693,1.0084203,2.1585858,0.9229154,1.2413167
2023-09-05,0.45903945,1.1177803,-0.19168971,0.4695185,0.40939984,1.2878679,-0.36614478,-0.31036654,1.3604933,2.3526876,0.87867206,1.3163394
2023-09-06,0.30258167,1.1306516,-0.25864094,0.36730286,0.58838874,1.3216991,-0.17724815,-0.039056562,1.2870942,2.2977073,0.74464375,1.4309638
2023-09-07,0.29901823,1.1630253,-0.259178,0.4666398,0.7992512,1.8027849,-1.2001488,-0.9657846,2.1687007,2.5894358,1.4270924,1.2503422
2023-09-08,-0.15257765,1.2650622,-0.77934223,0.050207067,0.03615427,1.3605146,0.07580116,0.972757,1.0215058,2.4045053,1.2942146,2.7948766
2023-09-11,0.51890486,1.5496628,-0.34464687,0.49896732,0.6380702,1.5635142,-0.20390095,0.9586815,0.5365147,2.0516021,0.57381654,3.2785335
2023-09-12,-0.028148009,0.52331454,-1.1894797,-0.685142,-0.5941825,-0.020460391,-1.7653396,-1.177994,-1.6245749,-0.24041519,-2.3681884,-0.89226866
2023-09-13,-0.28592914,0.094614506,-1.1971757,-0.41255662,-0.1864174,-0.06027163,-1.6551819,-0.7860325,0.0018529594,1.4503562,-0.21336313,1.0208275
2023-09-14,-0.5367986,0.08314353,-1.2816112,0.12501952,-0.3543785,0.0638375,-1.5730397,-0.44893643,-0.92676646,-0.3277141,-2.2432191,-0.8133078
2023-09-15,0.9041052,1.0059826,-0.7291889,0.53810066,0.7313109,0.6364006,0.08388429,0.9225764,-0.78817827,-0.018990135,-0.99459314,-0.238871
2023-09-18,0.13577032,1.051562,-0.9773951,0.40105867,0.88418716,1.4801571,-0.4951554,1.0040939,1.9832716,0.84711653,0.04282695,0.8988872
2023-09-19,1.0285584,1.2568352,0.3825165,0.7641971,1.4138112,1.6615579,0.8611979,1.8481544,2.5136425,2.18762,0.8458855,1.9015614
2023-09-20,0.48569724,1.4190251,0.07004404,0.91476965,1.1357268,1.4754174,0.1506578,1.3105948,2.6569066,2.1460469,1.8236645,2.00101
2023-09-21,0.51248103,1.1397152,-0.54436547,0.39420938,1.3366336,0.7676323,-0.8278724,0.08491229,2.9180312,2.7423117,2.4472408,2.1363633
2023-09-22,-0.07490892,0.7779264,0.028801698,0.2526309,-0.06606716,0.97730637,-0.5378739,-0.26467323,-0.2400335,0.35003823,-1.0184785,-0.6727022
2023-09-25,-0.6032968,0.78545827,-0.56080115,0.38764027,0.40610337,1.3098547,0.012186869,0.26277113,-0.37914518,-0.22115989,-1.1361489,-0.56608665
2023-09-26,0.1357705,1.146833,0.10517433,0.48458102,0.9599749,1.1997472,0.44195244,0.13000031,-0.6780391,-0.30640927,-1.6269404,-0.45533907
2023-09-27,-0.6092431,0.8013734,-0.4277901,0.67644995,0.050761446,0.7836603,-0.6760561,-0.35351607,-0.5542827,-0.058425926,-1.6494594,-0.9823245
2023-09-28,0.22442123,0.9631076,-0.35028386,0.17969821,0.4232244,0.69297713,-0.4764929,0.1714015,-0.3384877,-0.449412,-0.8812338,-0.38910046
2023-10-02,-0.49553132,0.8891668,-0.0982928,0.035233025,-0.25857145,0.802369,-0.66591036,-0.17927118,-0.6739464,-0.39980075,-1.4253087,-1.1302558
2023-10-03,0.08450864,0.7761299,-0.18984562,-0.81619304,-0.3254736,0.6424951,-1.173646,-0.62388384,-0.63057166,-0.18353093,-0.66119665,-0.312164
2023-10-04,-0.20535217,0.8332601,0.30581358,0.4672574,-0.23412952,0.3528353,-0.96891665,-1.3514307,-0.6052628,0.35044318,-0.9114034,0.009749153
2023-10-05,-0.08556341,1.0499562,0.0617786,-0.09497064,-0.6395752,0.2930906,-0.54755336,0.020378537,-0.44337544,0.21055657,-0.5475151,-0.08299541
2023-10-06,0.17716989,0.8050472,-0.459919,-0.46815002,0.23657283,0.74225456,-0.90849763,-0.33358508,-1.1017739,-0.3501972,-1.585558,-1.6657879
2023-10-11,-0.107059024,0.7651148,-0.60086757,0.7516027,0.75759166,0.55080044,-0.36790738,-0.3720324,-1.4223413,0.5001803,-0.30269265,0.08208211
2023-10-12,0.17870374,0.59201664,-0.47090176,0.75698894,-0.5650191,0.20926474,-0.46377954,-1.0423237,-0.44226557,1.4619387,1.0320889,1.4530531
2023-10-13,-0.38800785,0.31814373,-0.5131259,0.14397301,0.046487056,0.9592675,-0.16882052,-0.5321329,-0.2538765,0.75754845,0.9753054,1.2864199
2023-10-16,0.11714455,0.6719626,0.0735527,0.30316997,-0.39354965,0.47879818,-0.38009214,-0.13749918,0.643342,1.0834439,0.44752443,1.1485641
2023-10-17,0.03235463,0.96197724,0.16776137,0.41890162,-0.36695948,0.41221344,-0.4271445,-0.60350525,0.6893534,0.65450466,0.53471255,1.0913093
2023-10-18,0.053748585,0.5076493,-0.4280167,-0.21085112,-0.6529853,0.22553329,-0.6538362,-0.010788533,0.10131477,0.9175823,0.009156619,0.11743369
2023-10-19,-0.11228974,0.330302,-0.4842273,-0.39828032,-1.0061516,-0.056893658,-0.7497026,-0.35118225,-0.22694091,0.057619132,-1.2114284,-1.0575461
2023-10-20,0.5801498,0.78543293,-0.77981657,0.63312304,0.003101293,0.6027941,-0.67466176,0.039901353,-0.7812287,-1.3296332,-1.3334999,-0.6772516
2023-10-23,0.118010186,0.6208145,-0.61829406,-0.25054514,-0.26228505,0.6172467,-0.5477047,0.33431563,-1.0700667,-0.4217625,-1.2907308,-0.56022567
2023-10-24,-0.19627616,0.26854277,-0.8317663,-0.45465907,-0.38422167,0.33789837,-0.61140156,0.1632571,-0.6658065,-0.11137104,-1.5014113,-0.5945008
2023-10-25,0.31768346,0.78855795,-0.37333593,0.17580247,-0.2915347,-0.00962447,-1.0491246,-0.5630899,-2.175206,-1.1052896,-2.5851433,-2.1070542
2023-10-26,0.13695014,0.81387144,-0.34047794,-0.61512685,-0.45906836,0.4758026,-0.75194705,-0.43718347,-1.0432526,0.49065056,-0.21136446,0.13140607
2023-10-27,0.034046356,0.7428938,-0.40709245,-0.07093322,0.51488423,1.0766836,-0.17282158,0.422096,1.0527129,1.6266117,0.7222732,0.3414224
2023-10-30,0.2679055,1.0706047,-0.25582772,0.92530423,0.60964274,1.31954,0.10109994,1.2131639,3.3749456,1.9005442,0.6570994,1.2966197
2023-10-31,0.5365853,1.4512821,-0.19736645,1.3046546,0.6976027,1.7953688,0.2546246,0.8512842,3.1059496,2.5183125,1.0838002,1.5118896
