Date,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2020-11-13,72449.0,4048.0,0.0,17.9,0.0,48785.0,67.34,0.0,21.0,2.0,4.0,2.0,13.0,59.67,0.0,71.1,0.0
2020-11-20,72464.0,4031.0,-17.0,17.98,0.08000000000000185,48885.0,67.46,0.11999999999999034,21.0,2.0,4.0,2.0,13.0,59.77,0.10000000000000142,71.3,0.0028129395218003217
2020-11-27,72465.0,4112.0,81.0,17.62,-0.35999999999999943,48865.0,67.43,-0.029999999999986926,21.0,2.0,4.0,2.0,13.0,59.75,-0.020000000000003126,74.0,0.037868162692847165
2020-12-04,72466.0,4089.0,-23.0,17.72,0.09999999999999787,48970.0,67.58,0.14999999999999147,21.0,2.0,4.0,2.0,13.0,59.88,0.13000000000000256,72.3,-0.022972972972973012
2020-12-11,72466.0,4071.0,-18.0,17.8,0.08000000000000185,48909.0,67.49,-0.09000000000000341,21.0,2.0,4.0,2.0,13.0,59.77,-0.10999999999999943,72.0,-0.004149377593360957
2020-12-18,72466.0,4046.0,-25.0,17.91,0.10999999999999943,48931.0,67.52,0.030000000000001137,21.0,2.0,4.0,2.0,13.0,59.79,0.01999999999999602,73.3,0.018055555555555516
2020-12-25,72466.0,4032.0,-14.0,17.97,0.05999999999999872,49007.0,67.63,0.10999999999999943,21.0,2.0,4.0,2.0,13.0,59.89,0.10000000000000142,72.7,-0.00818553888130961
2020-12-31,72466.0,3996.0,-36.0,18.13,0.16000000000000014,48948.0,67.55,-0.0799999999999983,21.0,2.0,4.0,2.0,13.0,59.83,-0.060000000000002274,75.1,0.033012379642365766
2021-01-08,72466.0,3983.0,-13.0,18.19,0.060000000000002274,48940.0,67.53,-0.01999999999999602,21.0,2.0,4.0,2.0,13.0,59.84,0.010000000000005116,73.7,-0.018641810918774853
2021-01-15,72466.0,3979.0,-4.0,18.21,0.019999999999999574,48948.0,67.55,0.01999999999999602,21.0,2.0,4.0,2.0,13.0,59.84,0.0,73.2,-0.006784260515603799
2021-01-22,72466.0,3941.0,-38.0,18.39,0.17999999999999972,49032.0,67.66,0.10999999999999943,21.0,2.0,4.0,2.0,13.0,59.95,0.10999999999999943,71.5,-0.02322404371584703
2021-01-29,72466.0,3924.0,-17.0,18.47,0.0799999999999983,48897.0,67.48,-0.1799999999999926,21.0,2.0,4.0,2.0,13.0,59.82,-0.13000000000000256,71.5,0.0
2021-02-05,72468.0,3921.0,-3.0,18.48,0.010000000000001563,48821.0,67.37,-0.10999999999999943,21.0,2.0,4.0,2.0,13.0,59.72,-0.10000000000000142,73.5,0.027972027972027972
2021-02-09,72468.0,3918.0,-3.0,18.5,0.019999999999999574,48810.0,67.35,-0.020000000000010232,21.0,2.0,4.0,2.0,13.0,59.73,0.00999999999999801,73.5,0.0
2021-02-19,72468.0,3941.0,23.0,18.39,-0.10999999999999943,48690.0,67.19,-0.1599999999999966,21.0,4.0,2.0,2.0,13.0,59.73,0.0,77.1,0.048979591836734615
2021-02-26,72474.0,3916.0,-25.0,18.51,0.120000000000001,48395.0,66.78,-0.4099999999999966,21.0,4.0,2.0,2.0,13.0,59.75,0.020000000000003126,77.7,0.007782101167315286
2021-03-05,72476.0,3942.0,26.0,18.39,-0.120000000000001,48311.0,66.66,-0.12000000000000455,21.0,4.0,2.0,2.0,13.0,59.74,-0.00999999999999801,76.0,-0.021879021879021916
2021-03-12,72476.0,3962.0,20.0,18.29,-0.10000000000000142,47914.0,66.11,-0.5499999999999972,20.0,3.0,2.0,2.0,13.0,59.8,0.05999999999999517,78.0,0.02631578947368421
2021-03-19,72476.0,3985.0,23.0,18.19,-0.09999999999999787,47829.0,65.99,-0.12000000000000455,20.0,3.0,2.0,3.0,12.0,58.52,-1.279999999999994,77.8,-0.0025641025641026005
2021-03-26,72476.0,3960.0,-25.0,18.3,0.10999999999999943,47830.0,65.99,0.0,20.0,3.0,3.0,2.0,12.0,58.83,0.30999999999999517,79.3,0.019280205655526992
2021-04-01,72476.0,4001.0,41.0,18.11,-0.19000000000000128,47750.0,65.88,-0.10999999999999943,20.0,4.0,2.0,2.0,12.0,58.88,0.05000000000000426,79.0,-0.003783102143757846
2021-04-09,72476.0,4103.0,102.0,17.66,-0.4499999999999993,48248.0,66.57,0.6899999999999977,21.0,4.0,2.0,2.0,13.0,59.68,0.7999999999999972,81.0,0.02531645569620253
2021-04-16,72476.0,4258.0,155.0,17.02,-0.6400000000000006,48293.0,66.63,0.060000000000002274,21.0,4.0,2.0,2.0,13.0,59.71,0.030000000000001137,79.1,-0.02345679012345686
2021-04-23,72476.0,4236.0,-22.0,17.11,0.08999999999999986,48167.0,66.46,-0.1700000000000017,21.0,4.0,2.0,2.0,13.0,59.62,-0.09000000000000341,78.4,-0.008849557522123751
2021-04-29,72476.0,4224.0,-12.0,17.16,0.05000000000000071,48492.0,66.91,0.45000000000000284,21.0,4.0,2.0,2.0,13.0,60.03,0.4100000000000037,79.7,0.016581632653061187
2021-05-07,72476.0,4154.0,-70.0,17.45,0.28999999999999915,49173.0,67.85,0.9399999999999977,21.0,4.0,2.0,2.0,13.0,60.96,0.9299999999999997,78.5,-0.015056461731493134
2021-05-14,72476.0,4100.0,-54.0,17.68,0.23000000000000043,49657.0,68.51,0.6600000000000108,21.0,5.0,2.0,2.0,12.0,60.97,0.00999999999999801,71.4,-0.09044585987261139
2021-05-21,72476.0,4081.0,-19.0,17.76,0.08000000000000185,50178.0,69.23,0.7199999999999989,22.0,5.0,2.0,3.0,12.0,60.47,-0.5,72.1,0.009803921568627291
2021-05-28,72476.0,4077.0,-4.0,17.78,0.019999999999999574,50159.0,69.21,-0.020000000000010232,22.0,5.0,2.0,2.0,13.0,61.74,1.2700000000000031,73.7,0.02219140083217765
2021-06-04,72476.0,4054.0,-23.0,17.88,0.09999999999999787,50199.0,69.26,0.05000000000001137,22.0,5.0,2.0,2.0,13.0,61.79,0.04999999999999716,73.8,0.0013568521031206828
2021-06-11,72476.0,4099.0,45.0,17.68,-0.1999999999999993,50192.0,69.25,-0.010000000000005116,22.0,5.0,2.0,2.0,13.0,61.79,0.0,74.5,0.009485094850948549
2021-06-18,72476.0,4114.0,15.0,17.62,-0.05999999999999872,49782.0,68.69,-0.5600000000000023,21.0,4.0,2.0,2.0,13.0,61.79,0.0,76.0,0.020134228187919462
2021-06-25,72476.0,4117.0,3.0,17.6,-0.019999999999999574,49764.0,68.66,-0.030000000000001137,21.0,4.0,2.0,2.0,13.0,61.77,-0.01999999999999602,75.0,-0.013157894736842105
2021-07-02,72476.0,4145.0,28.0,17.49,-0.11000000000000298,49791.0,68.7,0.04000000000000625,21.0,4.0,2.0,2.0,13.0,61.79,0.01999999999999602,75.0,0.0
2021-07-09,72476.0,4172.0,27.0,17.37,-0.11999999999999744,49791.0,68.7,0.0,21.0,4.0,2.0,2.0,13.0,61.79,0.0,74.5,-0.006666666666666667
2021-07-16,72476.0,4209.0,37.0,17.22,-0.15000000000000213,49771.0,68.67,-0.030000000000001137,21.0,4.0,2.0,2.0,13.0,61.78,-0.00999999999999801,78.4,0.05234899328859068
2021-07-23,72476.0,4351.0,142.0,16.66,-0.5599999999999987,49762.0,68.66,-0.010000000000005116,21.0,4.0,2.0,2.0,13.0,61.75,-0.030000000000001137,73.3,-0.06505102040816337
2021-07-30,72476.0,4326.0,-25.0,16.75,0.08999999999999986,49761.0,68.66,0.0,21.0,4.0,2.0,2.0,13.0,61.77,0.020000000000003126,74.6,0.017735334242837617
2021-08-06,72476.0,4302.0,-24.0,16.85,0.10000000000000142,49689.0,68.56,-0.09999999999999432,21.0,4.0,2.0,2.0,13.0,61.68,-0.09000000000000341,77.3,0.03619302949061666
2021-08-13,72478.0,4247.0,-55.0,17.07,0.21999999999999886,49367.0,68.11,-0.45000000000000284,20.0,4.0,2.0,2.0,12.0,61.15,-0.5300000000000011,76.0,-0.016817593790426872
2021-08-20,72486.0,4201.0,-46.0,17.25,0.17999999999999972,49825.0,68.74,0.6299999999999955,21.0,4.0,2.0,2.0,13.0,61.99,0.8400000000000034,74.1,-0.025000000000000074
2021-08-27,72491.0,4200.0,-1.0,17.26,0.010000000000001563,49855.0,68.77,0.030000000000001137,21.0,4.0,2.0,2.0,13.0,62.02,0.030000000000001137,75.0,0.01214574898785433
2021-09-03,72495.0,4188.0,-12.0,17.31,0.04999999999999716,49866.0,68.79,0.020000000000010232,21.0,5.0,2.0,2.0,12.0,61.27,-0.75,75.1,0.0013333333333332576
2021-09-10,72496.0,4180.0,-8.0,17.34,0.030000000000001137,49898.0,68.83,0.03999999999999204,21.0,4.0,2.0,2.0,13.0,62.07,0.7999999999999972,74.7,-0.005326231691078449
