資料日期,集保總張數,總股東人數,平均張數/人,>400張大股東持有張數,>400張大股東持有百分比,>400張大股東人數,400~600張人數,600~800張人數,800~1000張人數,>1000張人數,>1000張大股東持有百分比,收盤價
20240223,"204,780","30,945",6.62,"128,343",62.67,83,30,14,9,30,46.67,615.00
20240216,"204,780","32,358",6.33,"124,370",60.73,81,30,12,11,28,44.41,537.00
20240205,"204,780","32,532",6.29,"124,485",60.79,81,30,11,11,29,44.71,537.00
20240202,"204,780","32,565",6.29,"124,967",61.03,82,31,11,10,30,45.17,539.00
20240126,"204,780","32,569",6.29,"125,271",61.17,82,30,13,7,32,46.26,521.00
20240119,"204,780","33,794",6.06,"123,642",60.38,81,27,15,6,33,46.14,516.00
20240112,"204,780","34,815",5.88,"121,672",59.42,80,26,15,9,30,44.19,482.00
20240105,"204,770","34,341",5.96,"123,238",60.18,82,29,15,8,30,44.71,499.50
20231229,"204,769","33,638",6.09,"125,496",61.29,82,30,14,8,30,46.04,520.00
20231222,"204,769","33,466",6.12,"126,010",61.54,81,29,13,7,32,47.19,515.00
20231215,"204,769","33,408",6.13,"126,173",61.62,83,31,15,8,29,45.52,525.00
20231208,"204,769","34,855",5.87,"122,184",59.67,75,22,15,9,29,45.37,512.00
20231201,"204,769","36,258",5.65,"119,195",58.21,73,23,12,9,29,44.64,494.00
20231124,"204,769","36,980",5.54,"116,769",57.02,70,21,11,9,29,44.32,469.00
20231117,"204,769","36,344",5.63,"117,320",57.29,71,24,9,9,29,44.67,479.00
20231110,"204,769","36,337",5.64,"118,667",57.95,78,32,9,8,29,43.67,485.00
20231103,"204,769","35,944",5.70,"119,362",58.29,76,30,11,7,28,44.23,482.50
20231027,"204,769","36,371",5.63,"119,597",58.41,77,30,9,10,28,43.70,458.00
20231020,"204,769","36,128",5.67,"119,723",58.47,76,26,12,7,31,45.17,485.00
20231013,"204,769","37,198",5.50,"117,534",57.40,75,27,10,9,29,43.64,478.50
20231006,"204,681","37,315",5.49,"116,673",57.00,74,24,10,13,27,42.17,463.00
20230928,"204,469","37,134",5.51,"116,622",57.04,74,24,12,10,28,42.53,456.00
20230922,"204,332","37,400",5.46,"116,949",57.23,76,28,11,7,30,43.57,457.50
20230915,"204,116","38,654",5.28,"115,134",56.41,71,21,15,6,29,43.51,473.50
20230908,"203,846","39,417",5.17,"113,164",55.51,69,19,15,7,28,42.63,446.50
20230901,"203,295","40,621",5.00,"111,367",54.78,69,23,12,5,29,42.74,422.00
20230825,"203,064","42,629",4.76,"108,445",53.40,65,19,11,6,29,42.32,385.50
20230818,"202,905","42,965",4.72,"108,050",53.25,64,18,14,3,29,42.63,376.50
20230811,"202,699","42,673",4.75,"107,409",52.99,63,17,12,5,29,42.45,363.00
20230804,"202,613","40,915",4.95,"111,759",55.16,64,13,15,5,31,44.60,401.00
20230728,"202,535","41,348",4.90,"111,283",54.94,65,16,15,5,29,43.78,421.50
20230721,"202,370","41,069",4.93,"108,917",53.82,62,16,13,5,28,43.30,398.50
20230714,"201,418","41,139",4.90,"109,618",54.42,65,19,14,5,27,42.75,407.00
20230707,"201,418","40,084",5.02,"111,075",55.15,66,18,14,10,24,41.70,389.00
