Date,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2020-11-13,25930380.0,541219.0,0.0,47.91,0.0,23927829.0,92.28,0.0,2426.0,458.0,279.0,197.0,1492.0,89.99,0.0,462.0,0.0
2020-11-20,25930380.0,546511.0,5292.0,47.45,-0.45999999999999375,23949626.0,92.36,0.0799999999999983,2438.0,461.0,282.0,199.0,1496.0,90.05,0.060000000000002274,488.0,0.05627705627705628
2020-11-27,25930380.0,567805.0,21294.0,45.67,-1.7800000000000011,23920614.0,92.25,-0.10999999999999943,2449.0,460.0,287.0,195.0,1507.0,89.95,-0.09999999999999432,489.0,0.0020491803278688526
2020-12-04,25930380.0,578777.0,10972.0,44.8,-0.8700000000000045,23902528.0,92.18,-0.06999999999999318,2464.0,462.0,295.0,187.0,1520.0,89.89,-0.060000000000002274,503.0,0.028629856850715747
2020-12-11,25930380.0,586059.0,7282.0,44.25,-0.5499999999999972,23903657.0,92.18,0.0,2471.0,478.0,285.0,186.0,1522.0,89.89,0.0,516.0,0.02584493041749503
2020-12-18,25930380.0,607982.0,21923.0,42.65,-1.6000000000000014,23874128.0,92.07,-0.11000000000001364,2471.0,474.0,288.0,191.0,1518.0,89.76,-0.12999999999999545,510.0,-0.011627906976744186
2020-12-25,25930380.0,611077.0,3095.0,42.43,-0.21999999999999886,23876550.0,92.08,0.010000000000005116,2482.0,484.0,279.0,201.0,1518.0,89.74,-0.020000000000010232,511.0,0.00196078431372549
2020-12-31,25930380.0,605914.0,-5163.0,42.8,0.36999999999999744,23893548.0,92.14,0.060000000000002274,2482.0,485.0,275.0,200.0,1522.0,89.81,0.07000000000000739,530.0,0.03718199608610567
2021-01-08,25930380.0,610369.0,4455.0,42.48,-0.3200000000000003,23895460.0,92.15,0.010000000000005116,2481.0,488.0,269.0,201.0,1523.0,89.83,0.01999999999999602,580.0,0.09433962264150944
2021-01-15,25930380.0,662046.0,51677.0,39.17,-3.309999999999995,23820540.0,91.86,-0.29000000000000625,2474.0,491.0,257.0,207.0,1519.0,89.54,-0.28999999999999204,601.0,0.03620689655172414
2021-01-22,25930380.0,702288.0,40242.0,36.92,-2.25,23791965.0,91.75,-0.10999999999999943,2473.0,496.0,266.0,193.0,1518.0,89.45,-0.09000000000000341,649.0,0.07986688851913477
2021-01-29,25930380.0,794292.0,92004.0,32.65,-4.270000000000003,23677300.0,91.31,-0.4399999999999977,2469.0,494.0,281.0,184.0,1510.0,89.0,-0.45000000000000284,591.0,-0.08936825885978428
2021-02-05,25930381.0,808169.0,13877.0,32.09,-0.5599999999999952,23677143.0,91.31,0.0,2471.0,494.0,279.0,187.0,1511.0,88.99,-0.010000000000005116,632.0,0.06937394247038917
2021-02-09,25930380.0,806262.0,-1907.0,32.16,0.06999999999999318,23677760.0,91.31,0.0,2474.0,494.0,279.0,188.0,1513.0,88.99,0.0,632.0,0.0
2021-02-19,25930380.0,804641.0,-1621.0,32.23,0.07000000000000028,23685175.0,91.34,0.030000000000001137,2472.0,487.0,284.0,180.0,1521.0,89.04,0.05000000000001137,652.0,0.03164556962025317
2021-02-26,25930380.0,840204.0,35563.0,30.86,-1.3699999999999974,23647367.0,91.2,-0.14000000000000057,2470.0,480.0,291.0,183.0,1516.0,88.88,-0.1600000000000108,606.0,-0.0705521472392638
