Date,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2021-03-05,5895646.0,263351.0,2535.0,22.39,-0.17999999999999972,4422099.0,75.01,-0.12999999999999545,775.0,208.0,106.0,68.0,393.0,70.99,-0.12000000000000455,42.5,0.011904761904761904
2021-03-12,5895646.0,263833.0,482.0,22.35,-0.03999999999999915,4418501.0,74.95,-0.060000000000002274,777.0,208.0,109.0,67.0,393.0,70.91,-0.0799999999999983,42.7,0.004705882352941244
2021-03-19,5895646.0,267080.0,3247.0,22.07,-0.28000000000000114,4402508.0,74.67,-0.28000000000000114,784.0,216.0,110.0,63.0,395.0,70.63,-0.28000000000000114,42.7,0.0
2021-03-26,5953089.0,272128.0,5048.0,21.88,-0.19000000000000128,4453389.0,74.81,0.14000000000000057,792.0,219.0,113.0,64.0,396.0,70.72,0.09000000000000341,46.15,0.08079625292740036
2021-04-01,5956667.0,270078.0,-2050.0,22.06,0.17999999999999972,4478340.0,75.18,0.37000000000000455,793.0,213.0,116.0,67.0,397.0,71.07,0.3499999999999943,46.7,0.01191765980498384
2021-04-09,5960341.0,272770.0,2692.0,21.85,-0.2099999999999973,4476909.0,75.11,-0.07000000000000739,789.0,210.0,117.0,65.0,397.0,71.04,-0.029999999999986926,46.7,0.0
2021-04-16,6058111.0,272532.0,-238.0,22.23,0.379999999999999,4575114.0,75.52,0.4099999999999966,789.0,213.0,113.0,58.0,405.0,71.65,0.6099999999999994,49.0,0.049250535331905716
2021-04-23,6058111.0,296115.0,23583.0,20.46,-1.7699999999999996,4538937.0,74.92,-0.5999999999999943,778.0,203.0,105.0,62.0,408.0,71.15,-0.5,53.0,0.08163265306122448
2021-04-29,6058111.0,308936.0,12821.0,19.61,-0.8500000000000014,4482380.0,73.99,-0.9300000000000068,782.0,206.0,109.0,62.0,405.0,70.16,-0.9900000000000091,52.1,-0.01698113207547167
2021-05-07,6058111.0,315515.0,6579.0,19.2,-0.41000000000000014,4456083.0,73.56,-0.4299999999999926,776.0,208.0,107.0,59.0,402.0,69.78,-0.37999999999999545,52.3,0.003838771593090129
2021-05-14,6058111.0,317371.0,1856.0,19.09,-0.10999999999999943,4450150.0,73.46,-0.10000000000000853,782.0,218.0,109.0,61.0,394.0,69.54,-0.23999999999999488,49.6,-0.05162523900573606
2021-05-21,6058111.0,316386.0,-985.0,19.15,0.05999999999999872,4468051.0,73.75,0.29000000000000625,780.0,211.0,110.0,65.0,394.0,69.81,0.269999999999996,51.2,0.03225806451612906
2021-05-28,6058111.0,317541.0,1155.0,19.08,-0.07000000000000028,4462161.0,73.66,-0.09000000000000341,780.0,209.0,111.0,65.0,395.0,69.7,-0.10999999999999943,50.6,-0.011718750000000028
2021-06-04,6058111.0,315568.0,-1973.0,19.2,0.120000000000001,4473520.0,73.84,0.18000000000000682,787.0,215.0,109.0,66.0,397.0,69.84,0.14000000000000057,51.9,0.025691699604743025
2021-06-11,6058111.0,316029.0,461.0,19.17,-0.029999999999997584,4470248.0,73.79,-0.04999999999999716,789.0,216.0,106.0,70.0,397.0,69.76,-0.0799999999999983,51.4,-0.009633911368015415
2021-06-18,6093215.0,315328.0,-701.0,19.32,0.14999999999999858,4508606.0,73.99,0.19999999999998863,785.0,216.0,103.0,71.0,395.0,70.01,0.25,51.0,-0.0077821011673151474
2021-06-25,6120485.0,315949.0,621.0,19.37,0.05000000000000071,4522448.0,73.89,-0.09999999999999432,790.0,215.0,107.0,70.0,398.0,69.9,-0.10999999999999943,51.0,0.0
2021-07-02,6123580.0,317368.0,1419.0,19.29,-0.08000000000000185,4512760.0,73.69,-0.20000000000000284,783.0,207.0,104.0,73.0,399.0,69.77,-0.13000000000000966,50.5,-0.00980392156862745
2021-07-09,6123580.0,319390.0,2022.0,19.17,-0.11999999999999744,4500953.0,73.5,-0.18999999999999773,792.0,207.0,107.0,72.0,406.0,69.57,-0.20000000000000284,52.0,0.0297029702970297
2021-07-16,6123580.0,321781.0,2391.0,19.03,-0.14000000000000057,4488034.0,73.29,-0.20999999999999375,784.0,208.0,102.0,73.0,401.0,69.39,-0.1799999999999926,51.5,-0.009615384615384616
2021-07-23,6123580.0,321764.0,-17.0,19.03,0.0,4487077.0,73.28,-0.010000000000005116,788.0,218.0,97.0,70.0,403.0,69.4,0.010000000000005116,53.0,0.02912621359223301
2021-07-30,6123580.0,320996.0,-768.0,19.08,0.04999999999999716,4497862.0,73.45,0.1700000000000017,797.0,223.0,101.0,65.0,408.0,69.57,0.1699999999999875,52.6,-0.007547169811320728
2021-08-06,6123580.0,319519.0,-1477.0,19.16,0.08000000000000185,4531077.0,73.99,0.539999999999992,792.0,217.0,104.0,64.0,407.0,70.13,0.5600000000000023,52.9,0.005703422053231885
2021-08-13,6123580.0,329018.0,9499.0,18.61,-0.5500000000000007,4498516.0,73.46,-0.5300000000000011,779.0,213.0,104.0,65.0,397.0,69.61,-0.519999999999996,48.4,-0.08506616257088848
2021-08-20,6123580.0,333668.0,4650.0,18.35,-0.259999999999998,4474648.0,73.07,-0.39000000000000057,782.0,213.0,111.0,66.0,392.0,69.13,-0.480000000000004,46.15,-0.04648760330578513
2021-08-27,6123580.0,336084.0,2416.0,18.22,-0.13000000000000256,4466773.0,72.94,-0.12999999999999545,776.0,205.0,113.0,68.0,390.0,69.02,-0.10999999999999943,47.45,0.028169014084507137
2021-09-03,6123580.0,336583.0,499.0,18.19,-0.029999999999997584,4468484.0,72.97,0.030000000000001137,777.0,203.0,113.0,67.0,394.0,69.09,0.07000000000000739,48.5,0.022128556375131656
2021-09-10,6123580.0,335498.0,-1085.0,18.25,0.05999999999999872,4479448.0,73.15,0.18000000000000682,777.0,206.0,115.0,67.0,389.0,69.23,0.14000000000000057,49.0,0.010309278350515464
2021-09-17,6124200.0,328900.0,-6598.0,18.62,0.370000000000001,4526183.0,73.91,0.7599999999999909,785.0,205.0,113.0,74.0,393.0,69.91,0.6799999999999926,50.7,0.03469387755102046
2021-09-24,6124200.0,328123.0,-777.0,18.66,0.03999999999999915,4530966.0,73.98,0.07000000000000739,779.0,203.0,109.0,73.0,394.0,70.06,0.15000000000000568,51.3,0.011834319526627106
2021-10-01,6124200.0,326685.0,-1438.0,18.75,0.08999999999999986,4542870.0,74.18,0.20000000000000284,782.0,205.0,108.0,78.0,391.0,70.18,0.12000000000000455,50.2,-0.021442495126705544
2021-10-08,6124200.0,326710.0,25.0,18.75,0.0,4543749.0,74.19,0.009999999999990905,780.0,197.0,113.0,77.0,393.0,70.21,0.029999999999986926,50.4,0.003984063745019835
2021-10-15,6124200.0,326990.0,280.0,18.73,-0.019999999999999574,4543551.0,74.19,0.0,778.0,194.0,118.0,74.0,392.0,70.22,0.010000000000005116,50.1,-0.0059523809523808965
2021-10-22,6124200.0,331384.0,4394.0,18.48,-0.25,4516948.0,73.76,-0.4299999999999926,767.0,197.0,112.0,69.0,389.0,69.88,-0.3400000000000034,48.8,-0.025948103792415255
2021-10-29,6124821.0,336063.0,4679.0,18.23,-0.25,4495383.0,73.4,-0.35999999999999943,762.0,197.0,111.0,68.0,386.0,69.55,-0.3299999999999983,48.25,-0.011270491803278632
2021-11-05,6125027.0,338293.0,2230.0,18.11,-0.120000000000001,4483924.0,73.21,-0.19000000000001194,759.0,197.0,111.0,64.0,387.0,69.42,-0.12999999999999545,48.15,-0.0020725388601036563
