Date,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2020-11-13,51077.0,2893.0,0.0,17.66,0.0,35180.0,68.88,0.0,5.0,0.0,0.0,0.0,5.0,68.88,0.0,130.5,0.0
2020-11-20,51077.0,3058.0,165.0,16.7,-0.9600000000000009,35180.0,68.88,0.0,5.0,0.0,0.0,0.0,5.0,68.88,0.0,128.0,-0.019157088122605363
2020-11-27,51077.0,3137.0,79.0,16.28,-0.41999999999999815,35180.0,68.88,0.0,5.0,0.0,0.0,0.0,5.0,68.88,0.0,125.5,-0.01953125
2020-12-04,51077.0,3443.0,306.0,14.83,-1.450000000000001,35171.0,68.86,-0.01999999999999602,5.0,0.0,0.0,0.0,5.0,68.86,-0.01999999999999602,129.0,0.027888446215139442
2020-12-11,51077.0,3455.0,12.0,14.78,-0.05000000000000071,35171.0,68.86,0.0,5.0,0.0,0.0,0.0,5.0,68.86,0.0,125.0,-0.031007751937984496
2020-12-18,51077.0,3439.0,-16.0,14.85,0.07000000000000028,35171.0,68.86,0.0,5.0,0.0,0.0,0.0,5.0,68.86,0.0,125.0,0.0
2020-12-25,51077.0,3388.0,-51.0,15.08,0.23000000000000043,35171.0,68.86,0.0,5.0,0.0,0.0,0.0,5.0,68.86,0.0,122.0,-0.024
2020-12-31,51077.0,3368.0,-20.0,15.17,0.08999999999999986,35171.0,68.86,0.0,5.0,0.0,0.0,0.0,5.0,68.86,0.0,122.0,0.0
2021-01-08,51077.0,3267.0,-101.0,15.63,0.46000000000000085,35573.0,69.65,0.7900000000000063,6.0,1.0,0.0,0.0,5.0,68.86,0.0,127.5,0.045081967213114756
2021-01-15,51077.0,3250.0,-17.0,15.72,0.08999999999999986,35602.0,69.7,0.04999999999999716,6.0,1.0,0.0,0.0,5.0,68.86,0.0,122.0,-0.043137254901960784
