Training RMSE  open_y,0.43135498728423866
Training R-squared open_y,0.8748318520076765
Training RMSE  high_y,0.7195010938830211
Training R-squared high_y,0.9141471883077421
Training RMSE  low_y,0.6530397322128916
Training R-squared low_y,0.9016616462043275
Training RMSE  close_y,1.0287852233469614
Training R-squared close_y,0.8877011926597921
Training RMSE  open_y_2day,1.1578650714401362
Training R-squared open_y_2day,0.8786995084904113
Training RMSE  high_y_2day,1.1892577383974838
Training R-squared high_y_2day,0.917625779025931
Training RMSE  low_y_2day,1.0301203508788395
Training R-squared low_y_2day,0.9153093673564392
Training RMSE  close_y_2day,1.2625126684425283
Training R-squared close_y_2day,0.9151400993443906
Training RMSE  open_y_5day,1.3916719430689928
Training R-squared open_y_5day,0.9513550413275605
Training RMSE  high_y_5day,1.330576970212214
Training R-squared high_y_5day,0.9652905834504113
Training RMSE  low_y_5day,1.214159752615112
Training R-squared low_y_5day,0.9602044020607157
Training RMSE  close_y_5day,1.337790900967492
Training R-squared close_y_5day,0.9636740643416066
Testing RMSE open_y,1.0402884141120783
Testing R-squared open_y,-0.38626431048959997
Testing RMSE high_y,2.3151625169835475
Testing R-squared high_y,-0.08413590073111332
Testing RMSE low_y,2.122012961312541
Testing R-squared low_y,-0.1312963483060039
Testing RMSE close_y,3.3627728986040517
Testing R-squared close_y,-0.40419966138160635
Testing RMSE open_y_2day,3.254614273211502
Testing R-squared open_y_2day,-0.19500208065886349
Testing RMSE high_y_2day,3.9315844983807353
Testing R-squared high_y_2day,0.13822900755489642
Testing RMSE low_y_2day,2.8448228469316037
Testing R-squared low_y_2day,0.1376318954598118
Testing RMSE close_y_2day,4.060479865589533
Testing R-squared close_y_2day,0.13252499303244092
Testing RMSE open_y_5day,3.939683854771407
Testing R-squared open_y_5day,0.5894920418055828
Testing RMSE high_y_5day,3.8525869734027074
Testing R-squared high_y_5day,0.6860562204302791
Testing RMSE low_y_5day,3.5927086179346337
Testing R-squared low_y_5day,0.6466414715351512
Testing RMSE close_y_5day,3.7226926473140645
Testing R-squared close_y_5day,0.6849319862200458
