Date,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2020-11-13,2610511.0,142472.0,0.0,18.32,0.0,2057476.0,78.82,0.0,432.0,99.0,56.0,42.0,235.0,74.04,0.0,64.1,0.0
2020-11-20,2610511.0,140970.0,-1502.0,18.52,0.1999999999999993,2067439.0,79.2,0.38000000000000966,431.0,96.0,58.0,44.0,233.0,74.36,0.3199999999999932,65.6,0.0234009360374415
2020-11-27,2610511.0,141998.0,1028.0,18.38,-0.14000000000000057,2065352.0,79.12,-0.0799999999999983,431.0,101.0,55.0,45.0,230.0,74.22,-0.14000000000000057,66.5,0.01371951219512204
2020-12-04,2610511.0,142231.0,233.0,18.35,-0.029999999999997584,2058842.0,78.87,-0.25,424.0,100.0,49.0,46.0,229.0,74.11,-0.10999999999999943,66.6,0.001503759398496155
2020-12-11,2610463.0,140215.0,-2016.0,18.62,0.2699999999999996,2063669.0,79.05,0.1799999999999926,434.0,113.0,50.0,45.0,226.0,74.04,-0.06999999999999318,69.9,0.04954954954954972
2020-12-18,2610463.0,140433.0,218.0,18.59,-0.030000000000001137,2058019.0,78.84,-0.20999999999999375,426.0,106.0,46.0,46.0,228.0,73.98,-0.060000000000002274,66.7,-0.04577968526466384
2020-12-25,2610463.0,141436.0,1003.0,18.46,-0.129999999999999,2050428.0,78.55,-0.29000000000000625,420.0,105.0,44.0,48.0,223.0,73.72,-0.2600000000000051,67.8,0.016491754122938445
2020-12-31,2610463.0,141590.0,154.0,18.44,-0.019999999999999574,2051885.0,78.6,0.04999999999999716,426.0,115.0,41.0,45.0,225.0,73.79,0.07000000000000739,67.3,-0.007374631268436578
2021-01-08,2610463.0,143898.0,2308.0,18.14,-0.3000000000000007,2035468.0,77.97,-0.6299999999999955,430.0,113.0,46.0,44.0,227.0,73.1,-0.6900000000000119,67.4,0.0014858841010402456
2021-01-15,2610463.0,141974.0,-1924.0,18.39,0.25,2057736.0,78.83,0.8599999999999994,427.0,104.0,48.0,40.0,235.0,74.2,1.1000000000000085,80.4,0.19287833827893172
2021-01-22,2662874.0,160648.0,18674.0,16.58,-1.8100000000000023,2076686.0,77.99,-0.8400000000000034,423.0,107.0,49.0,38.0,229.0,73.45,-0.75,77.6,-0.03482587064676631
2021-01-29,2662874.0,157223.0,-3425.0,16.94,0.360000000000003,2095303.0,78.69,0.7000000000000028,414.0,101.0,46.0,41.0,226.0,74.26,0.8100000000000023,78.4,0.010309278350515611
2021-02-05,2662874.0,161511.0,4288.0,16.49,-0.45000000000000284,2079388.0,78.09,-0.5999999999999943,415.0,108.0,42.0,43.0,222.0,73.56,-0.7000000000000028,78.4,0.0
2021-02-09,2662874.0,162678.0,1167.0,16.37,-0.11999999999999744,2073766.0,77.88,-0.21000000000000796,411.0,110.0,38.0,40.0,223.0,73.51,-0.04999999999999716,78.4,0.0
2021-02-19,2662874.0,167922.0,5244.0,15.86,-0.5100000000000016,2053743.0,77.13,-0.75,414.0,108.0,39.0,44.0,223.0,72.63,-0.8800000000000097,76.1,-0.029336734693877695
2021-02-26,2662874.0,173668.0,5746.0,15.33,-0.5299999999999994,2028026.0,76.16,-0.9699999999999989,410.0,104.0,39.0,41.0,226.0,71.84,-0.789999999999992,74.6,-0.01971090670170828
2021-03-05,2662874.0,178165.0,4497.0,14.95,-0.3800000000000008,2006620.0,75.36,-0.7999999999999972,405.0,101.0,45.0,41.0,218.0,70.92,-0.9200000000000017,73.5,-0.014745308310991882
2021-03-12,2662874.0,180617.0,2452.0,14.74,-0.20999999999999908,1989526.0,74.71,-0.6500000000000057,393.0,93.0,41.0,41.0,218.0,70.54,-0.37999999999999545,71.4,-0.028571428571428494
2021-03-19,2662874.0,184976.0,4359.0,14.4,-0.33999999999999986,1973696.0,74.12,-0.5899999999999892,389.0,92.0,39.0,42.0,216.0,70.01,-0.5300000000000011,75.0,0.05042016806722681
2021-03-26,2662874.0,185285.0,309.0,14.37,-0.030000000000001137,1974244.0,74.14,0.01999999999999602,392.0,97.0,41.0,39.0,215.0,69.98,-0.030000000000001137,73.8,-0.01600000000000004
2021-04-01,2662874.0,195443.0,10158.0,13.62,-0.75,1936658.0,72.73,-1.4099999999999966,390.0,102.0,38.0,37.0,213.0,68.59,-1.3900000000000006,73.5,-0.0040650406504064655
2021-04-09,2662874.0,201122.0,5679.0,13.24,-0.379999999999999,1908994.0,71.69,-1.0400000000000063,383.0,101.0,38.0,37.0,207.0,67.6,-0.9900000000000091,73.3,-0.0027210884353741885
2021-04-16,2662874.0,203651.0,2529.0,13.08,-0.16000000000000014,1895755.0,71.19,-0.5,380.0,102.0,38.0,38.0,202.0,67.05,-0.5499999999999972,73.5,0.002728512960436601
2021-04-23,2662874.0,202428.0,-1223.0,13.15,0.07000000000000028,1898753.0,71.3,0.10999999999999943,375.0,100.0,35.0,38.0,202.0,67.3,0.25,73.9,0.005442176870748377
2021-04-29,2662874.0,203451.0,1023.0,13.09,-0.0600000000000005,1889119.0,70.94,-0.35999999999999943,375.0,104.0,38.0,34.0,199.0,66.92,-0.37999999999999545,73.6,-0.004059539918809355
2021-05-07,2662874.0,203026.0,-425.0,13.12,0.02999999999999936,1875672.0,70.44,-0.5,370.0,97.0,46.0,36.0,191.0,66.26,-0.6599999999999966,71.1,-0.03396739130434783
2021-05-14,2662874.0,198914.0,-4112.0,13.39,0.27000000000000135,1890981.0,71.01,0.5700000000000074,369.0,96.0,45.0,41.0,187.0,66.72,0.45999999999999375,70.6,-0.007032348804500704
2021-05-21,2662874.0,196305.0,-2609.0,13.56,0.16999999999999993,1903516.0,71.48,0.46999999999999886,368.0,95.0,43.0,40.0,190.0,67.29,0.5700000000000074,72.5,0.02691218130311623
2021-05-28,2662874.0,194986.0,-1319.0,13.66,0.09999999999999964,1913229.0,71.85,0.36999999999999034,368.0,103.0,41.0,38.0,186.0,67.59,0.29999999999999716,73.2,0.009655172413793142
2021-06-04,2662874.0,193140.0,-1846.0,13.79,0.129999999999999,1923670.0,72.24,0.39000000000000057,367.0,100.0,41.0,44.0,182.0,67.85,0.2599999999999909,73.4,0.0027322404371585085
2021-06-11,2662874.0,192857.0,-283.0,13.81,0.02000000000000135,1925517.0,72.31,0.07000000000000739,366.0,96.0,43.0,43.0,184.0,67.97,0.12000000000000455,72.3,-0.01498637602179848
2021-06-18,2662788.0,191926.0,-931.0,13.87,0.05999999999999872,1930079.0,72.48,0.1700000000000017,362.0,94.0,40.0,42.0,186.0,68.29,0.3200000000000074,74.7,0.03319502074688805
2021-06-25,2662788.0,191369.0,-557.0,13.91,0.040000000000000924,1938150.0,72.79,0.3100000000000023,362.0,95.0,41.0,39.0,187.0,68.64,0.3499999999999943,74.5,-0.002677376171352113
2021-07-02,2662788.0,200523.0,9154.0,13.28,-0.6300000000000008,1897591.0,71.26,-1.5300000000000011,362.0,95.0,39.0,41.0,187.0,67.11,-1.5300000000000011,68.0,-0.087248322147651
2021-07-09,2662788.0,204359.0,3836.0,13.03,-0.25,1879552.0,70.59,-0.6700000000000017,363.0,93.0,42.0,39.0,189.0,66.46,-0.6500000000000057,67.6,-0.005882352941176554
2021-07-16,2662788.0,206959.0,2600.0,12.87,-0.16000000000000014,1860933.0,69.89,-0.7000000000000028,355.0,92.0,40.0,37.0,186.0,65.88,-0.5799999999999983,68.0,0.005917159763313694
2021-07-23,2670362.0,207722.0,763.0,12.86,-0.009999999999999787,1862748.0,69.76,-0.12999999999999545,352.0,92.0,43.0,35.0,182.0,65.77,-0.10999999999999943,66.8,-0.017647058823529453
2021-07-30,2670362.0,208587.0,865.0,12.8,-0.05999999999999872,1856496.0,69.52,-0.2400000000000091,349.0,90.0,41.0,40.0,178.0,65.45,-0.3199999999999932,67.3,0.0074850299401197605
2021-08-06,2670362.0,209219.0,632.0,12.76,-0.040000000000000924,1852881.0,69.39,-0.12999999999999545,347.0,86.0,46.0,39.0,176.0,65.31,-0.14000000000000057,68.3,0.01485884101040119
2021-08-13,2670362.0,210430.0,1211.0,12.69,-0.07000000000000028,1844733.0,69.08,-0.3100000000000023,345.0,89.0,43.0,34.0,179.0,65.17,-0.14000000000000057,65.7,-0.038067349926793476
