資料日期,集保總張數,總股東人數,平均張數/人,>400張大股東持有張數,>400張大股東持有百分比,>400張大股東人數,400~600張人數,600~800張人數,800~1000張人數,>1000張人數,>1000張大股東持有百分比,收盤價
20240223,"503,113","108,883",4.62,"233,088",46.33,81,19,7,5,50,42.56,143.00
20240216,"503,113","111,380",4.52,"223,834",44.49,82,22,6,6,48,40.31,129.00
20240205,"503,113","110,205",4.57,"227,258",45.17,84,25,3,6,50,41.08,122.50
20240202,"503,113","111,376",4.52,"225,426",44.81,84,23,7,3,51,40.99,124.50
20240126,"503,113","114,819",4.38,"218,481",43.43,83,23,4,7,49,39.20,119.00
20240119,"503,113","115,160",4.37,"216,241",42.98,80,19,7,5,49,39.20,115.50
20240112,"503,113","113,454",4.43,"220,600",43.85,82,18,10,4,50,39.98,120.50
20240105,"503,113","113,431",4.44,"220,675",43.86,86,21,10,5,50,39.48,119.50
20231229,"503,113","112,403",4.48,"223,389",44.40,86,21,7,4,54,40.56,116.50
20231222,"503,113","110,172",4.57,"229,819",45.68,89,23,7,7,52,41.11,116.00
20231215,"503,113","109,304",4.60,"235,870",46.88,88,21,9,7,51,42.22,122.00
20231208,"503,113","108,980",4.62,"236,779",47.06,89,20,10,7,52,42.41,126.00
20231201,"503,113","109,209",4.61,"235,083",46.73,89,26,8,5,50,42.12,120.50
20231124,"503,113","116,467",4.32,"212,969",42.33,79,17,9,9,44,37.72,117.00
20231117,"503,113","116,897",4.30,"210,084",41.76,75,15,10,8,42,37.44,104.00
20231110,"503,113","118,510",4.25,"204,217",40.59,73,16,7,10,40,36.20,102.50
20231103,"503,113","119,044",4.23,"202,742",40.30,74,15,9,8,42,36.17,98.30
20231027,"503,113","118,887",4.23,"204,891",40.72,72,13,9,7,43,36.95,99.10
20231020,"503,113","119,483",4.21,"204,382",40.62,76,15,10,7,44,36.45,96.20
20231013,"503,113","117,979",4.26,"212,249",42.19,78,17,8,8,45,37.96,102.50
20231006,"503,113","118,176",4.26,"211,128",41.96,76,15,8,7,46,38.16,106.50
20230928,"503,113","119,548",4.21,"208,743",41.49,76,15,11,8,42,37.03,107.50
20230922,"503,113","119,269",4.22,"208,372",41.42,76,17,8,4,47,37.99,102.00
20230915,"503,113","120,015",4.19,"208,826",41.51,78,19,9,4,46,37.75,103.50
20230908,"503,113","120,434",4.18,"208,247",41.39,82,25,7,7,43,36.75,107.00
