Date,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2020-11-27,5420985.0,144558.0,0.0,37.5,0.0,4169213.0,76.91,0.0,487.0,154.0,68.0,42.0,223.0,73.93,0.0,10.05,0.0
2020-12-04,5420985.0,145124.0,566.0,37.35,-0.14999999999999858,4179263.0,77.09,0.18000000000000682,486.0,148.0,70.0,43.0,225.0,74.13,0.19999999999998863,10.85,0.07960199004975113
2020-12-11,5420985.0,152660.0,7536.0,35.51,-1.8400000000000034,4117020.0,75.95,-1.1400000000000006,490.0,155.0,63.0,54.0,218.0,72.82,-1.3100000000000023,10.5,-0.032258064516129004
2020-12-18,5420985.0,161564.0,8904.0,33.55,-1.9600000000000009,4082969.0,75.32,-0.6300000000000097,492.0,148.0,67.0,50.0,227.0,72.26,-0.5599999999999881,12.15,0.15714285714285717
2020-12-25,5420985.0,170931.0,9367.0,31.71,-1.8399999999999963,4037701.0,74.48,-0.8399999999999892,489.0,149.0,75.0,39.0,226.0,71.5,-0.7600000000000051,11.95,-0.016460905349794327
2020-12-31,5420985.0,175585.0,4654.0,30.87,-0.8399999999999999,3998510.0,73.76,-0.7199999999999989,502.0,161.0,75.0,43.0,223.0,70.6,-0.9000000000000057,12.05,0.008368200836820203
2021-01-08,5420985.0,181277.0,5692.0,29.9,-0.9700000000000024,3933790.0,72.57,-1.190000000000012,498.0,164.0,75.0,39.0,220.0,69.45,-1.1499999999999915,11.05,-0.08298755186721991
2021-01-15,5420985.0,182648.0,1371.0,29.68,-0.21999999999999886,3905354.0,72.04,-0.5299999999999869,490.0,157.0,75.0,38.0,220.0,69.0,-0.45000000000000284,10.25,-0.07239819004524893
2021-01-22,5420985.0,181117.0,-1531.0,29.93,0.25,3895994.0,71.87,-0.1700000000000017,487.0,152.0,75.0,43.0,217.0,68.77,-0.23000000000000398,10.2,-0.004878048780487874
2021-01-29,5420985.0,179996.0,-1121.0,30.12,0.19000000000000128,3904490.0,72.03,0.1599999999999966,502.0,164.0,78.0,50.0,210.0,68.66,-0.10999999999999943,11.0,0.07843137254901968
2021-02-05,5420985.0,179737.0,-259.0,30.16,0.03999999999999915,3900148.0,71.95,-0.0799999999999983,510.0,169.0,79.0,46.0,216.0,68.6,-0.060000000000002274,11.65,0.059090909090909124
2021-02-09,5420985.0,178763.0,-974.0,30.32,0.16000000000000014,3913729.0,72.2,0.25,509.0,170.0,78.0,46.0,215.0,68.85,0.25,11.65,0.0
2021-02-19,5420985.0,181300.0,2537.0,29.9,-0.4200000000000017,3889131.0,71.74,-0.46000000000000796,518.0,179.0,73.0,50.0,216.0,68.31,-0.539999999999992,11.55,-0.008583690987124432
2021-02-26,5420985.0,187187.0,5887.0,28.96,-0.9399999999999977,3888310.0,71.73,-0.009999999999990905,536.0,177.0,78.0,51.0,230.0,68.21,-0.10000000000000853,14.0,0.21212121212121204
2021-03-05,5420985.0,219579.0,32392.0,24.69,-4.27,3716939.0,68.57,-3.160000000000011,499.0,157.0,75.0,59.0,208.0,65.14,-3.069999999999993,13.65,-0.024999999999999974
2021-03-12,5420993.0,224751.0,5172.0,24.12,-0.5700000000000003,3699737.0,68.25,-0.3199999999999932,489.0,153.0,80.0,53.0,203.0,64.9,-0.23999999999999488,14.15,0.03663003663003663
2021-03-19,5420993.0,227582.0,2831.0,23.82,-0.3000000000000007,3719837.0,68.62,0.37000000000000455,481.0,142.0,76.0,56.0,207.0,65.36,0.45999999999999375,14.95,0.056537102473498156
2021-03-26,5420993.0,235072.0,7490.0,23.06,-0.7600000000000016,3699609.0,68.25,-0.37000000000000455,474.0,146.0,77.0,53.0,198.0,65.0,-0.35999999999999943,15.05,0.006688963210702436
2021-04-01,5420993.0,236196.0,1124.0,22.95,-0.10999999999999943,3696256.0,68.18,-0.06999999999999318,488.0,146.0,78.0,57.0,207.0,64.87,-0.12999999999999545,15.25,0.01328903654485045
2021-04-09,5420993.0,227107.0,-9089.0,23.87,0.9200000000000017,3783089.0,69.79,1.6099999999999994,510.0,156.0,73.0,63.0,218.0,66.33,1.4599999999999937,16.2,0.06229508196721307
2021-04-16,5420993.0,244773.0,17666.0,22.15,-1.7200000000000024,3725953.0,68.73,-1.0600000000000023,478.0,143.0,69.0,60.0,206.0,65.52,-0.8100000000000023,18.3,0.12962962962962973
2021-04-23,5420993.0,263738.0,18965.0,20.55,-1.5999999999999979,3744501.0,69.07,0.3399999999999892,465.0,140.0,69.0,54.0,202.0,65.98,0.46000000000000796,20.4,0.11475409836065562
2021-04-29,5420993.0,264687.0,949.0,20.48,-0.07000000000000028,3743327.0,69.05,-0.01999999999999602,468.0,157.0,66.0,53.0,192.0,65.86,-0.12000000000000455,21.2,0.03921568627450984
2021-05-07,5420993.0,277340.0,12653.0,19.55,-0.9299999999999997,3642644.0,67.2,-1.8499999999999943,464.0,145.0,73.0,51.0,195.0,64.08,-1.7800000000000011,17.25,-0.18632075471698112
2021-05-14,5420993.0,275723.0,-1617.0,19.66,0.10999999999999943,3643441.0,67.21,0.009999999999990905,447.0,149.0,64.0,53.0,181.0,64.14,0.060000000000002274,15.1,-0.12463768115942031
2021-05-21,5420993.0,279846.0,4123.0,19.37,-0.28999999999999915,3607406.0,66.55,-0.6599999999999966,439.0,146.0,63.0,54.0,176.0,63.51,-0.6300000000000026,15.4,0.019867549668874218
2021-05-28,5433445.0,273857.0,-5989.0,19.84,0.46999999999999886,3651854.0,67.21,0.6599999999999966,466.0,149.0,72.0,59.0,186.0,63.95,0.44000000000000483,18.1,0.17532467532467538
2021-06-04,5497199.0,275881.0,2024.0,19.93,0.08999999999999986,3715210.0,67.58,0.37000000000000455,488.0,157.0,65.0,62.0,204.0,64.32,0.36999999999999034,20.5,0.13259668508287284
