Date,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2020-11-13,1590212.0,71706.0,0.0,22.18,0.0,1288262.0,81.01,0.0,547.0,170.0,82.0,53.0,242.0,69.27,0.0,675.0,0.0
2020-11-20,1590216.0,67656.0,-4050.0,23.5,1.3200000000000003,1297371.0,81.58,0.5699999999999932,547.0,168.0,80.0,57.0,242.0,69.74,0.46999999999999886,747.0,0.10666666666666667
2020-11-27,1590246.0,67405.0,-251.0,23.59,0.08999999999999986,1298775.0,81.67,0.09000000000000341,548.0,169.0,77.0,55.0,247.0,70.02,0.28000000000000114,725.0,-0.029451137884872823
2020-12-04,1590258.0,72778.0,5373.0,21.85,-1.7399999999999984,1289924.0,81.11,-0.5600000000000023,547.0,167.0,77.0,56.0,247.0,69.48,-0.539999999999992,705.0,-0.027586206896551724
2020-12-11,1590264.0,73761.0,983.0,21.56,-0.2900000000000027,1291336.0,81.2,0.09000000000000341,550.0,169.0,78.0,54.0,249.0,69.56,0.0799999999999983,707.0,0.0028368794326241137
2020-12-18,1590270.0,75827.0,2066.0,20.97,-0.5899999999999999,1287317.0,80.95,-0.25,544.0,166.0,82.0,49.0,247.0,69.45,-0.10999999999999943,699.0,-0.011315417256011316
2020-12-25,1590273.0,73557.0,-2270.0,21.62,0.6500000000000021,1290714.0,81.16,0.20999999999999375,544.0,162.0,85.0,47.0,250.0,69.75,0.29999999999999716,715.0,0.022889842632331903
2020-12-31,1590273.0,70544.0,-3013.0,22.54,0.9199999999999982,1296961.0,81.56,0.4000000000000057,546.0,163.0,84.0,48.0,251.0,70.11,0.35999999999999943,747.0,0.044755244755244755
2021-01-08,1590290.0,68051.0,-2493.0,23.37,0.8300000000000018,1300295.0,81.76,0.20000000000000284,544.0,161.0,83.0,51.0,249.0,70.24,0.12999999999999545,838.0,0.12182061579651941
2021-01-15,1590317.0,72351.0,4300.0,21.98,-1.3900000000000006,1297222.0,81.57,-0.19000000000001194,545.0,159.0,86.0,52.0,248.0,69.96,-0.28000000000000114,850.0,0.014319809069212411
2021-01-22,1590345.0,73615.0,1264.0,21.6,-0.379999999999999,1296610.0,81.53,-0.03999999999999204,545.0,155.0,94.0,49.0,247.0,69.88,-0.0799999999999983,917.0,0.07882352941176471
2021-01-29,1590355.0,81311.0,7696.0,19.56,-2.0400000000000027,1289987.0,81.11,-0.4200000000000017,549.0,154.0,98.0,52.0,245.0,69.2,-0.6799999999999926,875.0,-0.04580152671755725
2021-02-05,1590364.0,78127.0,-3184.0,20.36,0.8000000000000007,1293866.0,81.36,0.25,552.0,153.0,99.0,55.0,245.0,69.28,0.0799999999999983,950.0,0.08571428571428572
2021-02-09,1590367.0,78063.0,-64.0,20.37,0.010000000000001563,1291150.0,81.19,-0.1700000000000017,548.0,146.0,102.0,55.0,245.0,69.18,-0.09999999999999432,950.0,0.0
2021-02-19,1590371.0,79817.0,1754.0,19.93,-0.4400000000000013,1292116.0,81.25,0.060000000000002274,555.0,150.0,103.0,55.0,247.0,69.15,-0.030000000000001137,964.0,0.014736842105263158
2021-02-26,1590353.0,84001.0,4184.0,18.93,-1.0,1287363.0,80.95,-0.29999999999999716,549.0,144.0,107.0,55.0,243.0,68.81,-0.3400000000000034,896.0,-0.07053941908713693
2021-03-05,1590357.0,89856.0,5855.0,17.7,-1.2300000000000004,1280687.0,80.53,-0.4200000000000017,550.0,146.0,108.0,52.0,244.0,68.42,-0.39000000000000057,883.0,-0.014508928571428572
2021-03-12,1590366.0,94489.0,4633.0,16.83,-0.870000000000001,1277187.0,80.31,-0.21999999999999886,547.0,147.0,110.0,49.0,241.0,68.21,-0.21000000000000796,899.0,0.01812004530011325
2021-03-19,1590385.0,94608.0,119.0,16.81,-0.019999999999999574,1276827.0,80.28,-0.030000000000001137,548.0,150.0,102.0,55.0,241.0,68.1,-0.10999999999999943,885.0,-0.01557285873192436
2021-03-26,1590390.0,91412.0,-3196.0,17.4,0.5899999999999999,1279593.0,80.46,0.1799999999999926,544.0,149.0,97.0,53.0,245.0,68.59,0.4900000000000091,943.0,0.0655367231638418
2021-04-01,1590398.0,87073.0,-4339.0,18.27,0.870000000000001,1282974.0,80.67,0.21000000000000796,545.0,151.0,95.0,52.0,247.0,68.88,0.28999999999999204,961.0,0.019088016967126194
2021-04-09,1590423.0,81079.0,-5994.0,19.62,1.3500000000000014,1286520.0,80.89,0.21999999999999886,547.0,155.0,91.0,54.0,247.0,69.05,0.1700000000000017,999.0,0.03954214360041623
2021-04-16,1590471.0,84630.0,3551.0,18.79,-0.8300000000000018,1283077.0,80.67,-0.21999999999999886,542.0,154.0,89.0,55.0,244.0,68.96,-0.09000000000000341,975.0,-0.024024024024024024
2021-04-23,1590471.0,82928.0,-1702.0,19.18,0.39000000000000057,1288514.0,81.01,0.3400000000000034,548.0,157.0,92.0,54.0,245.0,69.1,0.14000000000000057,1035.0,0.06153846153846154
2021-04-29,1590471.0,77804.0,-5124.0,20.44,1.2600000000000016,1292166.0,81.24,0.22999999999998977,549.0,157.0,85.0,61.0,246.0,69.19,0.09000000000000341,1185.0,0.14492753623188406
2021-05-07,1590471.0,87114.0,9310.0,18.26,-2.1799999999999997,1284216.0,80.74,-0.5,544.0,166.0,81.0,54.0,243.0,68.9,-0.28999999999999204,1060.0,-0.10548523206751055
2021-05-14,1590471.0,100144.0,13030.0,15.88,-2.380000000000001,1280851.0,80.53,-0.20999999999999375,535.0,157.0,80.0,58.0,240.0,68.92,0.01999999999999602,895.0,-0.15566037735849056
2021-05-21,1590471.0,101214.0,1070.0,15.71,-0.16999999999999993,1279768.0,80.46,-0.07000000000000739,541.0,159.0,82.0,57.0,243.0,68.73,-0.18999999999999773,955.0,0.0670391061452514
2021-05-28,1590409.0,104139.0,2925.0,15.27,-0.4400000000000013,1274933.0,80.16,-0.29999999999999716,538.0,156.0,81.0,57.0,244.0,68.56,-0.1700000000000017,961.0,0.0062827225130890054
2021-06-04,1590409.0,104529.0,390.0,15.21,-0.05999999999999872,1273214.0,80.06,-0.09999999999999432,537.0,156.0,82.0,52.0,247.0,68.68,0.12000000000000455,977.0,0.01664932362122789
2021-06-11,1590409.0,102391.0,-2138.0,15.53,0.3199999999999985,1276967.0,80.29,0.23000000000000398,541.0,159.0,82.0,52.0,248.0,68.83,0.14999999999999147,980.0,0.0030706243602865915
2021-06-18,1590409.0,105607.0,3216.0,15.06,-0.46999999999999886,1272288.0,80.0,-0.29000000000000625,539.0,158.0,82.0,51.0,248.0,68.61,-0.21999999999999886,965.0,-0.015306122448979591
2021-06-25,1590409.0,112555.0,6948.0,14.13,-0.9299999999999997,1268373.0,79.75,-0.25,536.0,158.0,76.0,52.0,250.0,68.6,-0.010000000000005116,927.0,-0.039378238341968914
2021-07-02,1590409.0,111504.0,-1051.0,14.26,0.129999999999999,1269470.0,79.82,0.06999999999999318,532.0,148.0,81.0,50.0,253.0,68.93,0.3300000000000125,957.0,0.032362459546925564
2021-07-09,1590409.0,115615.0,4111.0,13.76,-0.5,1265902.0,79.6,-0.21999999999999886,532.0,149.0,79.0,52.0,252.0,68.62,-0.3100000000000023,919.0,-0.03970741901776385
2021-07-16,1590409.0,114225.0,-1390.0,13.92,0.16000000000000014,1266369.0,79.63,0.030000000000001137,531.0,148.0,82.0,49.0,252.0,68.64,0.01999999999999602,957.0,0.041349292709466814
2021-07-23,1590426.0,115509.0,1284.0,13.77,-0.15000000000000036,1263064.0,79.42,-0.20999999999999375,528.0,146.0,81.0,53.0,248.0,68.33,-0.3100000000000023,933.0,-0.025078369905956112
2021-07-30,1590432.0,116624.0,1115.0,13.64,-0.129999999999999,1262268.0,79.37,-0.04999999999999716,523.0,141.0,86.0,48.0,248.0,68.49,0.1599999999999966,910.0,-0.02465166130760986
2021-08-06,1590454.0,112171.0,-4453.0,14.18,0.5399999999999991,1264905.0,79.53,0.1599999999999966,526.0,144.0,89.0,47.0,246.0,68.47,-0.01999999999999602,936.0,0.02857142857142857
2021-08-13,1590465.0,114525.0,2354.0,13.89,-0.28999999999999915,1265605.0,79.57,0.03999999999999204,532.0,149.0,86.0,54.0,243.0,68.19,-0.28000000000000114,910.0,-0.027777777777777776
2021-08-20,1590442.0,116386.0,1861.0,13.67,-0.22000000000000064,1262925.0,79.41,-0.1599999999999966,529.0,149.0,86.0,54.0,240.0,67.99,-0.20000000000000284,873.0,-0.04065934065934066
2021-08-27,1590456.0,119066.0,2680.0,13.36,-0.3100000000000005,1261821.0,79.34,-0.06999999999999318,529.0,151.0,84.0,54.0,240.0,67.95,-0.03999999999999204,896.0,0.026345933562428408
2021-09-03,1590458.0,114109.0,-4957.0,13.94,0.5800000000000001,1267075.0,79.67,0.3299999999999983,531.0,153.0,82.0,55.0,241.0,68.28,0.3299999999999983,919.0,0.025669642857142856
2021-09-10,1590458.0,115846.0,1737.0,13.73,-0.20999999999999908,1263028.0,79.41,-0.2600000000000051,531.0,153.0,77.0,59.0,242.0,68.01,-0.269999999999996,925.0,0.006528835690968444
2021-09-17,1590459.0,111355.0,-4491.0,14.28,0.5499999999999989,1267164.0,79.67,0.2600000000000051,528.0,150.0,78.0,52.0,248.0,68.68,0.6700000000000017,940.0,0.016216216216216217
2021-09-24,1590464.0,111642.0,287.0,14.25,-0.02999999999999936,1266257.0,79.62,-0.04999999999999716,528.0,148.0,76.0,53.0,251.0,68.76,0.0799999999999983,920.0,-0.02127659574468085
2021-10-01,1590464.0,110044.0,-1598.0,14.45,0.1999999999999993,1271134.0,79.92,0.29999999999999716,535.0,156.0,77.0,54.0,248.0,68.7,-0.060000000000002274,885.0,-0.03804347826086957
2021-10-08,1598852.0,113860.0,3816.0,14.04,-0.41000000000000014,1275193.0,79.76,-0.1599999999999966,531.0,154.0,75.0,54.0,248.0,68.75,0.04999999999999716,910.0,0.02824858757062147
