年月日,open,high,low,close,adj close,volume,MA3,MA5,MA5volume,MA20,MA10,adj close-MA5 distance,adj close-MA10 distance,adj close-MA20 distance,adj close-MA3 distance,MA20-MA10 distance,MA20-MA5 distance,MA10-MA5 distance,MA10-MA3 distance,MA20-MA3 distance,MA5-MA3 distance,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2020-11-13,14.256451606750488,14.70351791381836,14.107430458068848,14.355799674987793,14.06563949584961,27509.0,14.049416224161783,14.124043464660645,28834.6,14.411196851730347,14.070506477355957,-0.058403968811035156,-0.0048669815063480115,-0.34555735588073766,0.016223271687826113,0.34069037437438965,0.2871533870697025,-0.053536987304687145,0.021090253194174124,0.3617806275685638,0.07462724049886127,71448.0,19438.0,0.0,3.68,0.0,51375.0,71.91,0.0,10.0,1.0,5.0,1.0,3.0,65.21,0.0,14.45,0.0
2020-11-16,14.355799674987793,14.405473709106445,14.206777572631836,14.206777572631836,13.919629096984863,21032.0,13.984522819519043,14.046171379089355,22932.0,14.35279278755188,14.070506477355957,-0.12654228210449148,-0.1508773803710941,-0.4331636905670173,-0.06489372253417969,0.2822863101959232,0.30662140846252584,0.02433509826660263,0.08598365783691442,0.3682699680328376,0.06164855957031179,71448.0,19438.0,0.0,3.68,0.0,51375.0,71.91,0.0,10.0,1.0,5.0,1.0,3.0,65.21,0.0,14.45,0.0
2020-11-17,14.30612564086914,14.30612564086914,14.107430458068848,14.107430458068848,13.822290420532227,22537.0,13.935853004455566,13.978033638000488,20572.0,14.287088251113891,14.055905532836913,-0.15574321746826136,-0.2336151123046868,-0.4647978305816647,-0.11356258392333984,0.2311827182769779,0.3090546131134033,0.07787189483642543,0.12005252838134695,0.35123524665832484,0.04218063354492152,71448.0,19438.0,0.0,3.68,0.0,51375.0,71.91,0.0,10.0,1.0,5.0,1.0,3.0,65.21,0.0,14.45,0.0
2020-11-18,14.107430458068848,14.107430458068848,13.95840835571289,14.008082389831543,13.724949836730957,29401.0,13.82228978474935,13.900161743164062,23597.6,14.221383714675904,14.02183656692505,-0.17521190643310547,-0.2968867301940925,-0.49643387794494664,-0.09733994801839252,0.19954714775085414,0.3212219715118412,0.12167482376098704,0.1995467821757,0.3990939299265541,0.07787195841471295,71448.0,19438.0,0.0,3.68,0.0,51375.0,71.91,0.0,10.0,1.0,5.0,1.0,3.0,65.21,0.0,14.45,0.0
2020-11-19,14.008082389831543,14.256451606750488,13.95840835571289,13.95840835571289,13.67628002166748,31364.0,13.74117342631022,13.841757774353027,26368.6,14.153245687484741,14.016969585418702,-0.16547775268554688,-0.34068956375122106,-0.47696566581726074,-0.0648934046427403,0.13627610206603968,0.31148791313171387,0.17521181106567418,0.27579615910848077,0.41207226117452045,0.10058434804280658,71448.0,19438.0,0.0,3.68,0.0,51375.0,71.91,0.0,10.0,1.0,5.0,1.0,3.0,65.21,0.0,14.45,0.0
2020-11-20,14.008082389831543,14.256451606750488,13.908734321594238,14.256451606750488,13.968299865722656,48373.0,13.789843241373697,13.822289848327637,30541.4,14.114309644699096,13.97316665649414,0.14601001739501918,-0.0048667907714836645,-0.14600977897644007,0.17845662434895893,0.1411429882049564,0.29201979637145925,0.15087680816650284,0.1833234151204426,0.324466403325399,0.03244660695393975,71448.0,19426.0,-12.0,3.68,0.0,51331.0,71.84,-0.06999999999999318,10.0,1.0,5.0,1.0,3.0,65.14,-0.06999999999999318,14.35,-0.006920415224913471
2020-11-23,14.604169845581055,14.753191947937012,14.206777572631836,14.206777572631836,13.919629096984863,20152.0,13.854736328125,13.822289848327637,30365.4,14.0802405834198,13.934230613708497,0.09733924865722621,-0.014601516723633523,-0.16061148643493617,0.06489276885986328,0.14600996971130265,0.2579507350921624,0.11194076538085973,0.0794942855834968,0.22550425529479945,-0.032446479797362926,71448.0,19426.0,-12.0,3.68,0.0,51331.0,71.84,-0.06999999999999318,10.0,1.0,5.0,1.0,3.0,65.14,-0.06999999999999318,14.35,-0.006920415224913471
2020-11-24,14.206777572631836,14.206777572631836,13.908734321594238,13.908734321594238,13.627610206604004,46430.0,13.838513056437174,13.783353805541992,35144.0,14.036437606811523,13.880693721771241,-0.15574359893798828,-0.25308351516723704,-0.4088274002075192,-0.21090284983316998,0.15574388504028214,0.2530838012695309,0.09733991622924876,0.04218066533406706,0.1979245503743492,-0.0551592508951817,71448.0,19426.0,-12.0,3.68,0.0,51331.0,71.84,-0.06999999999999318,10.0,1.0,5.0,1.0,3.0,65.14,-0.06999999999999318,14.35,-0.006920415224913471
2020-11-25,13.908734321594238,14.405473709106445,13.85905933380127,13.85905933380127,13.578939437866211,44339.0,13.708726247151693,13.754151725769043,38131.6,13.990201091766357,13.827156734466552,-0.1752122879028324,-0.2482172966003411,-0.41126165390014613,-0.12978680928548236,0.16304435729980504,0.23604936599731374,0.0730050086975087,0.11843048731485872,0.28147484461466377,0.045425478617350024,71448.0,19426.0,-12.0,3.68,0.0,51331.0,71.84,-0.06999999999999318,10.0,1.0,5.0,1.0,3.0,65.14,-0.06999999999999318,14.35,-0.006920415224913471
2020-11-26,13.809385299682617,14.455147743225098,13.809385299682617,14.107430458068848,13.822290420532227,53649.0,13.67628002166748,13.783353805541992,42588.6,13.965866136550904,13.81255578994751,0.038936614990234375,0.009734630584716797,-0.14357571601867747,0.1460103988647461,0.15331034660339427,0.18251233100891184,0.029201984405517578,0.1362757682800293,0.28958611488342356,0.10707378387451172,71448.0,19426.0,-12.0,3.68,0.0,51331.0,71.84,-0.06999999999999318,10.0,1.0,5.0,1.0,3.0,65.14,-0.06999999999999318,14.35,-0.006920415224913471
