資料日期,集保總張數,總股東人數,平均張數/人,>400張大股東持有張數,>400張大股東持有百分比,>400張大股東人數,400~600張人數,600~800張人數,800~1000張人數,>1000張人數,>1000張大股東持有百分比,收盤價
20240223,"78,448","24,033",3.26,"39,309",50.11,8,2,3,1,2,45.33,66.90
20240216,"78,448","24,147",3.25,"39,309",50.11,8,2,3,1,2,45.33,69.30
20240205,"78,448","24,279",3.23,"39,309",50.11,8,2,3,1,2,45.33,66.20
20240202,"78,448","24,286",3.23,"39,309",50.11,8,2,3,1,2,45.33,66.00
20240126,"78,448","24,354",3.22,"39,309",50.11,8,2,3,1,2,45.33,65.70
20240119,"78,448","24,213",3.24,"39,309",50.11,8,2,3,1,2,45.33,65.10
20240112,"78,448","24,281",3.23,"39,409",50.24,8,2,3,1,2,45.33,68.60
20240105,"78,448","24,240",3.24,"39,409",50.24,8,2,3,1,2,45.33,65.30
20231229,"78,448","23,969",3.27,"39,369",50.19,8,2,3,1,2,45.33,63.80
20231222,"78,448","24,038",3.26,"39,371",50.19,8,2,3,1,2,45.33,63.00
20231215,"78,448","24,083",3.26,"39,371",50.19,8,2,3,1,2,45.33,63.70
20231208,"78,448","24,095",3.26,"39,371",50.19,8,2,3,1,2,45.33,63.10
20231201,"78,448","24,130",3.25,"39,843",50.79,9,3,3,1,2,45.33,65.20
20231124,"78,448","24,242",3.24,"39,839",50.78,9,3,3,1,2,45.33,66.40
20231117,"78,448","24,092",3.26,"39,832",50.77,9,3,3,1,2,45.33,64.30
20231110,"78,448","24,185",3.24,"39,837",50.78,9,3,3,1,2,45.33,61.90
20231103,"78,448","24,170",3.25,"39,841",50.79,9,3,3,1,2,45.33,63.80
20231027,"78,448","24,245",3.24,"39,867",50.82,9,3,3,1,2,45.33,63.50
20231020,"78,448","24,304",3.23,"40,004",50.99,9,2,4,1,2,45.33,64.40
20231013,"78,448","24,331",3.22,"40,063",51.07,9,2,4,1,2,45.33,69.20
20231006,"78,448","24,348",3.22,"40,054",51.06,9,2,4,1,2,45.33,71.70
20230928,"78,448","24,429",3.21,"40,096",51.11,9,2,4,1,2,45.33,71.40
20230922,"78,448","24,486",3.20,"40,099",51.12,9,2,4,1,2,45.33,70.30
20230915,"78,448","24,662",3.18,"40,149",51.18,9,2,4,1,2,45.33,76.60
20230908,"78,448","23,859",3.29,"42,330",53.96,10,3,3,1,3,48.52,77.40
20230901,"78,448","24,774",3.17,"39,424",50.25,8,2,3,1,2,45.33,73.00
20230825,"71,448","24,097",2.97,"33,537",46.94,7,2,2,1,2,42.37,68.30
20230818,"71,448","24,164",2.96,"33,537",46.94,7,2,2,1,2,42.37,68.50
20230811,"71,448","24,279",2.94,"33,534",46.93,7,2,2,1,2,42.37,68.90
20230804,"71,448","24,010",2.98,"33,983",47.56,8,3,2,1,2,42.37,69.50
20230728,"71,448","24,162",2.96,"34,058",47.67,8,3,2,1,2,42.37,73.40
20230721,"71,448","24,303",2.94,"35,076",49.09,10,5,2,1,2,42.37,74.70
