資料日期,集保總張數,總股東人數,平均張數/人,>400張大股東持有張數,>400張大股東持有百分比,>400張大股東人數,400~600張人數,600~800張人數,800~1000張人數,>1000張人數,>1000張大股東持有百分比,收盤價
20240308,"9,078,633","531,455",17.08,"4,934,234",54.35,"1,336",458,210,125,543,49.08,14.50
20240301,"9,078,633","529,365",17.15,"4,974,181",54.79,"1,336",451,213,125,547,49.55,15.20
20240223,"9,078,633","529,865",17.13,"5,000,247",55.08,"1,342",450,218,127,547,49.78,15.55
20240216,"9,078,633","529,180",17.16,"5,004,646",55.13,"1,347",454,209,133,551,49.82,15.65
20240205,"9,078,633","527,698",17.20,"5,034,396",55.45,"1,352",452,209,131,560,50.18,16.25
20240202,"9,078,633","527,504",17.21,"5,039,585",55.51,"1,346",446,206,135,559,50.25,16.20
20240126,"9,078,633","529,682",17.14,"5,010,028",55.18,"1,359",452,211,126,570,49.93,17.00
20240119,"9,078,633","537,054",16.90,"4,859,543",53.53,"1,353",465,204,134,550,48.18,16.45
20240112,"9,078,633","545,673",16.64,"4,708,711",51.87,"1,379",484,219,130,546,46.35,14.65
20240105,"9,078,633","549,127",16.53,"4,645,867",51.17,"1,386",490,228,127,541,45.60,15.00
20231229,"9,078,633","550,620",16.49,"4,639,251",51.10,"1,387",493,227,126,541,45.53,14.30
20231222,"9,078,633","555,982",16.33,"4,539,338",50.00,"1,402",495,231,130,546,44.34,13.45
20231215,"9,078,633","559,303",16.23,"4,497,642",49.54,"1,405",499,225,135,546,43.87,12.50
20231208,"9,078,633","560,514",16.20,"4,510,360",49.68,"1,398",493,235,130,540,44.02,12.90
20231201,"9,078,633","559,490",16.23,"4,524,458",49.84,"1,389",489,230,136,534,44.18,12.65
20231124,"9,078,633","560,177",16.21,"4,527,695",49.87,"1,381",487,230,132,532,44.27,12.60
20231117,"9,078,633","561,546",16.17,"4,520,845",49.80,"1,379",486,233,131,529,44.18,12.80
20231110,"9,078,633","563,601",16.11,"4,502,319",49.59,"1,379",487,235,127,530,43.99,12.10
20231103,"9,078,633","564,474",16.08,"4,497,285",49.54,"1,373",478,236,127,532,43.98,12.55
20231027,"9,078,633","564,516",16.08,"4,496,743",49.53,"1,386",484,234,131,537,43.91,12.00
20231020,"9,078,633","563,737",16.10,"4,519,949",49.79,"1,381",484,227,131,539,44.22,11.90
20231013,"9,078,633","563,501",16.11,"4,544,784",50.06,"1,378",480,227,125,546,44.59,12.50
20231006,"9,078,633","563,647",16.11,"4,553,490",50.16,"1,376",476,227,128,545,44.68,12.30
20230928,"9,078,633","562,891",16.13,"4,584,903",50.50,"1,368",473,225,124,546,45.09,13.15
20230922,"9,078,633","563,135",16.12,"4,597,878",50.65,"1,373",475,225,123,550,45.23,13.60
20230915,"9,078,633","562,554",16.14,"4,622,742",50.92,"1,365",471,222,121,551,45.57,13.90
20230908,"9,078,633","561,530",16.17,"4,645,279",51.17,"1,357",462,215,126,554,45.86,13.65
20230901,"9,078,633","557,908",16.27,"4,741,455",52.23,"1,320",455,200,122,543,47.09,14.55
20230825,"9,078,633",1,"9,078,633.34","9,078,633",100.00,1,0,0,0,1,100.00,
20230818,"9,556,456","557,304",17.15,"5,043,751",52.78,"1,389",487,212,121,569,47.64,
20230811,"9,556,456","556,988",17.16,"5,083,018",53.19,"1,388",492,201,119,576,48.11,15.25
20230804,"9,556,456","556,507",17.17,"5,131,687",53.70,"1,386",478,213,120,575,48.59,16.80
20230728,"9,556,456","556,995",17.16,"5,110,443",53.48,"1,403",496,214,120,573,48.27,16.90
20230721,"9,556,456","559,819",17.07,"5,060,161",52.95,"1,418",504,220,118,576,47.67,15.90
20230714,"9,556,456","563,325",16.96,"5,040,868",52.75,"1,417",497,217,122,581,47.50,16.05
20230707,"9,556,456","569,161",16.79,"4,977,598",52.09,"1,410",500,223,114,573,46.84,15.35
20230630,"9,556,456","568,186",16.82,"4,992,699",52.24,"1,394",491,213,118,572,47.08,15.25
20230621,"9,556,456","565,956",16.89,"5,029,598",52.63,"1,384",489,211,120,564,47.47,16.50
20230616,"9,556,456","568,868",16.80,"4,924,771",51.53,"1,398",502,219,114,563,46.30,14.70
20230609,"9,556,456","570,131",16.76,"4,923,186",51.52,"1,399",501,212,117,569,46.32,14.70
20230602,"9,556,456","576,138",16.59,"4,835,311",50.60,"1,400",505,219,111,565,45.38,13.95
20230526,"9,556,456","576,407",16.58,"4,839,094",50.64,"1,397",502,221,113,561,45.40,13.65
20230519,"9,556,456","577,276",16.55,"4,831,051",50.55,"1,391",501,219,110,561,45.37,13.60
20230512,"9,556,456","578,359",16.52,"4,826,720",50.51,"1,400",510,220,109,561,45.27,13.10
20230505,"9,556,456","577,640",16.54,"4,850,510",50.76,"1,389",499,216,116,558,45.55,13.65
20230428,"9,556,456","575,322",16.61,"4,898,958",51.26,"1,375",496,209,108,562,46.21,13.40
20230421,"9,556,456","576,466",16.58,"4,891,218",51.18,"1,372",499,209,111,553,46.07,14.35
20230414,"9,556,456","575,720",16.60,"4,943,164",51.73,"1,368",496,205,112,555,46.66,15.15
20230407,"9,556,456","580,094",16.47,"4,880,669",51.07,"1,355",488,203,112,552,46.06,14.60
20230331,"9,556,456","581,074",16.45,"4,872,373",50.99,"1,356",488,205,114,549,45.94,14.50
20230324,"9,556,456","582,881",16.40,"4,862,889",50.89,"1,352",488,206,114,544,45.83,14.50
20230317,"9,556,456","581,880",16.42,"4,889,135",51.16,"1,350",479,201,112,558,46.21,14.55
20230310,"9,556,456","582,087",16.42,"4,902,019",51.30,"1,337",472,203,106,556,46.42,14.45
20230303,"9,556,456","580,204",16.47,"4,915,914",51.44,"1,344",478,204,108,554,46.52,15.05
20230224,"9,556,456","581,002",16.45,"4,919,850",51.48,"1,338",476,199,111,552,46.58,14.70
20230217,"9,556,456","581,565",16.43,"4,827,852",50.52,"1,370",496,208,116,550,45.41,14.10
20230210,"9,556,456","585,148",16.33,"4,766,539",49.88,"1,388",501,212,129,546,44.59,12.65
20230203,"9,556,456","589,597",16.21,"4,673,845",48.91,"1,393",502,220,127,544,43.58,12.05
