資料日期,集保總張數,總股東人數,平均張數/人,>400張大股東持有張數,>400張大股東持有百分比,>400張大股東人數,400~600張人數,600~800張人數,800~1000張人數,>1000張人數,>1000張大股東持有百分比,收盤價
20240216,"3,862,627","158,698",24.34,"3,345,186",86.60,559,129,73,49,308,82.48,248.50
20240205,"3,862,627","162,994",23.70,"3,334,498",86.33,556,130,72,47,307,82.26,255.00
20240202,"3,862,627","166,603",23.18,"3,324,762",86.08,556,129,77,43,307,82.03,253.00
20240126,"3,862,627","164,177",23.53,"3,331,320",86.24,561,139,75,45,302,82.06,242.00
20240119,"3,862,627","173,872",22.22,"3,303,143",85.52,543,133,74,42,294,81.50,240.00
20240112,"3,862,627","174,787",22.10,"3,306,371",85.60,542,131,82,38,291,81.57,231.00
20240105,"3,862,627","179,533",21.51,"3,287,998",85.12,540,129,74,40,297,81.20,215.50
20231229,"3,862,627","181,602",21.27,"3,282,031",84.97,552,140,74,41,297,80.86,224.50
20231222,"3,862,627","181,902",21.23,"3,279,491",84.90,549,139,75,44,291,80.73,215.00
20231215,"3,862,627","190,224",20.31,"3,256,076",84.30,533,129,76,38,290,80.39,202.50
20231208,"3,862,627","192,860",20.03,"3,247,676",84.08,535,129,74,45,287,80.03,203.00
20231201,"3,862,627","191,641",20.16,"3,250,318",84.15,540,126,76,44,294,80.12,200.00
20231124,"3,862,627","185,554",20.82,"3,272,238",84.72,562,129,84,45,304,80.48,203.50
20231117,"3,862,627","180,106",21.45,"3,286,476",85.08,567,129,77,48,313,80.90,208.50
20231110,"3,862,627","174,386",22.15,"3,306,160",85.59,578,132,74,53,319,81.32,213.50
20231103,"3,862,627","178,216",21.67,"3,299,580",85.42,577,131,76,53,317,81.13,200.00
20231027,"3,862,628","177,049",21.82,"3,299,421",85.42,578,129,74,55,320,81.13,203.00
20231020,"3,862,627","175,586",22.00,"3,303,383",85.52,587,135,75,49,328,81.28,204.50
20231013,"3,862,627","165,016",23.41,"3,329,275",86.19,597,134,81,49,333,81.87,226.00
20231006,"3,862,627","161,483",23.92,"3,339,158",86.45,596,133,77,56,330,82.06,254.50
20230928,"3,862,627","165,317",23.36,"3,334,998",86.34,592,132,79,52,329,82.00,239.50
20230922,"3,862,627","166,735",23.17,"3,334,969",86.34,593,132,82,52,327,81.95,227.50
20230915,"3,862,627","162,011",23.84,"3,342,790",86.54,592,130,78,56,328,82.15,233.00
20230908,"3,862,627","156,161",24.73,"3,353,028",86.81,597,139,77,52,329,82.41,242.00
20230901,"3,862,627","155,949",24.77,"3,355,785",86.88,597,136,76,53,332,82.52,240.50
20230825,"3,862,627","148,186",26.07,"3,373,073",87.33,595,139,76,55,325,82.89,244.00
20230818,"3,862,627","135,523",28.50,"3,396,690",87.94,597,135,83,58,321,83.35,256.00
20230811,"3,862,627","153,903",25.10,"3,363,233",87.07,577,132,77,51,317,82.79,223.50
20230804,"3,862,627","140,879",27.42,"3,392,351",87.82,576,132,69,54,321,83.62,220.00
20230728,"3,862,628","132,227",29.21,"3,411,014",88.31,586,132,73,61,320,83.85,264.50
20230721,"3,862,627","115,211",33.53,"3,443,290",89.14,589,139,71,58,321,84.73,226.00
20230714,"3,862,627","107,784",35.84,"3,456,435",89.48,597,138,69,61,329,85.05,198.00
20230707,"3,862,627","109,978",35.12,"3,446,235",89.22,585,133,70,57,325,84.91,160.50
20230630,"3,862,627","108,430",35.62,"3,452,382",89.38,572,125,71,57,319,85.19,152.00
20230621,"3,862,627","104,649",36.91,"3,456,427",89.48,579,128,71,55,325,85.29,151.50
20230616,"3,862,627","99,678",38.75,"3,468,796",89.80,575,129,67,61,318,85.53,149.00
20230609,"3,862,627","98,118",39.37,"3,476,846",90.01,560,124,71,50,315,86.01,131.50
20230602,"3,862,627","100,590",38.40,"3,477,256",90.02,534,117,64,52,301,86.18,118.00
20230526,"3,862,627","87,951",43.92,"3,510,805",90.89,512,103,62,48,299,87.36,115.50
20230519,"3,862,627","89,035",43.38,"3,503,849",90.71,484,92,62,45,285,87.37,109.00
20230512,"3,862,627","97,145",39.76,"3,477,965",90.04,453,94,59,41,259,86.83,101.50
20230505,"3,862,627","100,463",38.45,"3,468,461",89.80,440,92,51,43,254,86.70,89.60
20230428,"3,862,627","103,475",37.33,"3,459,634",89.57,430,85,52,41,252,86.60,85.90
20230421,"3,862,627","103,530",37.31,"3,463,276",89.66,431,91,53,38,249,86.67,84.30
20230414,"3,862,627","99,842",38.69,"3,477,726",90.04,429,85,60,36,248,87.03,81.80
