Date,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2020-11-13,167042.0,16657.0,0.0,10.03,0.0,93644.0,56.06,0.0,37.0,9.0,3.0,4.0,21.0,50.19,0.0,11.55,0.0
2020-11-20,167042.0,16543.0,-114.0,10.1,0.07000000000000028,93372.0,55.9,-0.1600000000000037,36.0,7.0,4.0,4.0,21.0,50.19,0.0,11.85,0.02597402597402588
2020-11-27,167042.0,16381.0,-162.0,10.2,0.09999999999999964,94155.0,56.37,0.46999999999999886,36.0,6.0,4.0,4.0,22.0,50.84,0.6500000000000057,12.25,0.03375527426160341
2020-12-04,167042.0,16592.0,211.0,10.07,-0.129999999999999,95742.0,57.32,0.9500000000000028,38.0,8.0,5.0,3.0,22.0,51.38,0.5399999999999991,12.55,0.024489795918367405
2020-12-11,167042.0,16385.0,-207.0,10.19,0.11999999999999922,94852.0,56.78,-0.5399999999999991,37.0,8.0,4.0,3.0,22.0,51.38,0.0,12.0,-0.043824701195219175
2020-12-18,167042.0,16343.0,-42.0,10.22,0.030000000000001137,93873.0,56.2,-0.5799999999999983,35.0,7.0,3.0,3.0,22.0,51.38,0.0,12.2,0.016666666666666607
2020-12-25,167042.0,16132.0,-211.0,10.35,0.129999999999999,94424.0,56.53,0.3299999999999983,36.0,7.0,4.0,3.0,22.0,51.38,0.0,12.35,0.012295081967213144
2020-12-31,167042.0,15955.0,-177.0,10.47,0.120000000000001,94752.0,56.72,0.18999999999999773,36.0,6.0,5.0,3.0,22.0,51.38,0.0,12.45,0.008097165991902806
2021-01-08,167042.0,15988.0,33.0,10.45,-0.02000000000000135,95420.0,57.12,0.3999999999999986,37.0,7.0,5.0,3.0,22.0,51.38,0.0,11.65,-0.06425702811244972
2021-01-15,167042.0,15968.0,-20.0,10.46,0.010000000000001563,95030.0,56.89,-0.22999999999999687,37.0,8.0,4.0,3.0,22.0,51.38,0.0,11.15,-0.04291845493562232
2021-01-22,167042.0,15985.0,17.0,10.45,-0.010000000000001563,95177.0,56.98,0.0899999999999963,37.0,7.0,5.0,3.0,22.0,51.38,0.0,10.85,-0.02690582959641262
2021-01-29,167042.0,16039.0,54.0,10.41,-0.03999999999999915,94857.0,56.79,-0.18999999999999773,36.0,6.0,5.0,3.0,22.0,51.38,0.0,10.45,-0.03686635944700464
2021-02-05,167042.0,16117.0,78.0,10.36,-0.05000000000000071,94448.0,56.54,-0.25,35.0,5.0,5.0,3.0,22.0,51.38,0.0,10.75,0.028708133971291936
2021-02-09,167042.0,16111.0,-6.0,10.37,0.009999999999999787,94438.0,56.54,0.0,35.0,5.0,5.0,3.0,22.0,51.38,0.0,10.75,0.0
2021-02-19,167042.0,16054.0,-57.0,10.41,0.040000000000000924,94812.0,56.76,0.21999999999999886,36.0,6.0,5.0,3.0,22.0,51.38,0.0,11.6,0.07906976744186044
2021-02-26,167042.0,16073.0,19.0,10.39,-0.019999999999999574,95177.0,56.98,0.21999999999999886,36.0,6.0,4.0,4.0,22.0,51.37,-0.010000000000005116,11.85,0.021551724137931036
