資料日期,集保總張數,總股東人數,平均張數/人,>400張大股東持有張數,>400張大股東持有百分比,>400張大股東人數,400~600張人數,600~800張人數,800~1000張人數,>1000張人數,>1000張大股東持有百分比,收盤價
20240223,"271,364","42,146",6.44,"138,466",51.03,30,14,5,0,11,47.29,132.50
20240216,"271,364","40,368",6.72,"140,039",51.61,31,12,6,1,12,47.70,132.50
20240205,"271,364","40,829",6.65,"139,409",51.37,29,11,5,0,13,48.15,126.50
20240202,"271,364","40,830",6.65,"139,519",51.41,29,10,6,0,13,48.21,128.00
20240126,"271,364","40,979",6.62,"139,748",51.50,30,12,5,0,13,48.12,126.00
20240119,"271,364","40,738",6.66,"140,049",51.61,29,10,5,1,13,48.29,125.50
20240112,"271,364","40,587",6.69,"140,564",51.80,29,10,5,3,11,47.66,122.00
20240105,"271,364","40,688",6.67,"140,445",51.76,29,10,4,3,12,47.97,123.00
20231229,"271,364","40,600",6.68,"140,812",51.89,30,11,5,2,12,47.96,127.50
20231222,"271,364","40,141",6.76,"141,840",52.27,31,11,6,2,12,48.13,124.50
20231215,"271,364","39,871",6.81,"143,833",53.00,36,16,4,5,11,47.46,130.00
20231208,"271,364","39,364",6.89,"145,615",53.66,37,14,8,2,13,48.42,136.00
20231201,"271,364","38,720",7.01,"146,502",53.99,37,11,10,2,14,48.84,139.50
20231124,"271,364","38,550",7.04,"146,591",54.02,34,15,4,3,12,49.38,136.50
20231117,"271,364","38,900",6.98,"145,459",53.60,32,13,6,1,12,49.40,129.50
20231110,"271,364","39,014",6.96,"146,042",53.82,33,14,6,1,12,49.63,127.00
20231103,"271,364","39,440",6.88,"143,660",52.94,29,12,5,1,11,49.21,121.00
20231027,"271,364","39,669",6.84,"143,121",52.74,29,12,3,2,12,49.20,117.00
20231020,"271,364","39,266",6.91,"143,775",52.98,31,13,7,0,11,48.82,120.00
20231013,"271,364","39,398",6.89,"142,939",52.67,30,14,4,0,12,49.15,118.00
20231006,"271,364","39,569",6.86,"142,528",52.52,30,15,3,2,10,48.46,112.00
20230928,"271,364","39,229",6.92,"145,113",53.48,33,16,3,3,11,48.98,117.50
20230922,"271,364","39,450",6.88,"144,510",53.25,31,15,3,1,12,49.63,109.00
20230915,"271,364","39,402",6.89,"144,664",53.31,31,14,4,1,12,49.55,113.50
20230908,"271,364","39,394",6.89,"144,359",53.20,31,15,3,0,13,49.94,111.50
20230901,"271,364","39,401",6.89,"144,802",53.36,32,16,3,0,13,49.92,114.00
20230825,"271,364","39,628",6.85,"143,450",52.86,30,14,3,1,12,49.44,111.00
20230818,"271,364","39,596",6.85,"144,126",53.11,31,15,4,0,12,49.50,109.00
20230811,"271,364","39,929",6.80,"142,909",52.66,29,12,4,1,12,49.24,113.50
20230804,"271,364","40,197",6.75,"143,400",52.84,31,14,4,1,12,49.10,121.00
20230728,"271,364","40,354",6.72,"142,790",52.62,30,14,3,0,13,49.39,128.50
20230721,"271,364","40,522",6.70,"142,410",52.48,30,14,3,1,12,48.90,129.50
20230714,"271,364","41,143",6.60,"140,307",51.70,27,11,3,2,11,48.35,138.00
