Date,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2021-02-26,165136.0,33624.0,426.0,4.91,-0.05999999999999961,78887.0,47.77,-0.0799999999999983,38.0,12.0,9.0,4.0,13.0,38.59,1.230000000000004,42.65,-0.011587485515643106
2021-03-05,165136.0,33680.0,56.0,4.9,-0.009999999999999787,79930.0,48.4,0.6299999999999955,40.0,16.0,7.0,4.0,13.0,38.77,0.17999999999999972,40.1,-0.05978898007033991
2021-03-12,165136.0,34096.0,416.0,4.84,-0.0600000000000005,78025.0,47.25,-1.1499999999999986,37.0,13.0,8.0,3.0,13.0,38.64,-0.13000000000000256,40.5,0.009975062344139616
2021-03-19,165136.0,34107.0,11.0,4.84,0.0,78978.0,47.83,0.5799999999999983,39.0,16.0,6.0,6.0,11.0,37.29,-1.3500000000000014,43.45,0.07283950617283957
2021-03-26,165136.0,33836.0,-271.0,4.88,0.040000000000000036,81605.0,49.42,1.5900000000000034,38.0,13.0,7.0,5.0,13.0,39.88,2.5900000000000034,44.0,0.0126582278481012
2021-04-01,165136.0,34331.0,495.0,4.81,-0.07000000000000028,81906.0,49.6,0.17999999999999972,40.0,14.0,8.0,7.0,11.0,38.28,-1.6000000000000014,45.5,0.03409090909090909
2021-04-09,165136.0,35504.0,1173.0,4.65,-0.15999999999999925,81342.0,49.26,-0.3400000000000034,41.0,15.0,8.0,6.0,12.0,38.09,-0.18999999999999773,46.15,0.014285714285714254
2021-04-16,165136.0,35534.0,30.0,4.65,0.0,76302.0,46.21,-3.049999999999997,36.0,15.0,8.0,3.0,10.0,36.6,-1.490000000000002,43.9,-0.04875406283856988
2021-04-23,165136.0,36007.0,473.0,4.59,-0.0600000000000005,74297.0,44.99,-1.2199999999999989,36.0,21.0,4.0,1.0,10.0,36.42,-0.17999999999999972,40.7,-0.07289293849658304
2021-04-29,165136.0,36120.0,113.0,4.57,-0.019999999999999574,73393.0,44.44,-0.5500000000000043,35.0,19.0,4.0,4.0,8.0,34.95,-1.4699999999999989,40.2,-0.012285012285012284
2021-05-07,165136.0,35935.0,-185.0,4.6,0.02999999999999936,70981.0,42.98,-1.4600000000000009,32.0,18.0,3.0,3.0,8.0,34.83,-0.12000000000000455,38.5,-0.04228855721393041
2021-05-14,165136.0,35808.0,-127.0,4.61,0.010000000000000675,71123.0,43.07,0.09000000000000341,30.0,14.0,6.0,3.0,7.0,34.86,0.030000000000001137,33.25,-0.13636363636363635
2021-05-21,165136.0,35510.0,-298.0,4.65,0.040000000000000036,72581.0,43.95,0.8800000000000026,30.0,14.0,6.0,3.0,7.0,35.78,0.9200000000000017,34.15,0.02706766917293229
2021-05-28,165136.0,35587.0,77.0,4.64,-0.010000000000000675,71881.0,43.53,-0.4200000000000017,29.0,14.0,5.0,2.0,8.0,36.43,0.6499999999999986,36.2,0.06002928257686689
2021-06-04,165136.0,35819.0,232.0,4.61,-0.02999999999999936,70913.0,42.94,-0.5900000000000034,27.0,12.0,6.0,1.0,8.0,36.52,0.09000000000000341,36.45,0.006906077348066298
2021-06-11,165136.0,35547.0,-272.0,4.65,0.040000000000000036,72023.0,43.61,0.6700000000000017,29.0,14.0,6.0,1.0,8.0,36.6,0.0799999999999983,38.65,0.06035665294924542
2021-06-18,165136.0,35673.0,126.0,4.63,-0.020000000000000462,70466.0,42.67,-0.9399999999999977,26.0,11.0,5.0,2.0,8.0,36.5,-0.10000000000000142,39.3,0.016817593790426872
2021-06-25,165136.0,36117.0,444.0,4.57,-0.05999999999999961,68982.0,41.77,-0.8999999999999986,23.0,8.0,5.0,3.0,7.0,35.87,-0.6300000000000026,39.7,0.0101781170483462
2021-07-02,165136.0,35907.0,-210.0,4.6,0.02999999999999936,68853.0,41.69,-0.0800000000000054,23.0,8.0,6.0,2.0,7.0,35.87,0.0,39.3,-0.010075566750629865
2021-07-09,165136.0,35647.0,-260.0,4.63,0.03000000000000025,76378.0,46.25,4.560000000000002,29.0,8.0,9.0,2.0,10.0,39.21,3.3400000000000034,45.15,0.14885496183206112
2021-07-16,165136.0,36334.0,687.0,4.54,-0.08999999999999986,78900.0,47.78,1.5300000000000011,29.0,10.0,4.0,2.0,13.0,42.27,3.0600000000000023,45.35,0.004429678848283563
2021-07-23,165136.0,36409.0,75.0,4.54,0.0,74248.0,44.96,-2.8200000000000003,28.0,10.0,5.0,5.0,8.0,37.27,-5.0,42.0,-0.07386990077177512
2021-07-30,165136.0,36851.0,442.0,4.48,-0.05999999999999961,70727.0,42.83,-2.1300000000000026,26.0,12.0,4.0,2.0,8.0,36.61,-0.6600000000000037,39.3,-0.06428571428571435
2021-08-06,165136.0,36840.0,-11.0,4.48,0.0,69107.0,41.85,-0.9799999999999969,23.0,10.0,2.0,4.0,7.0,35.73,-0.8800000000000026,41.1,0.04580152671755736
2021-08-13,165136.0,36688.0,-152.0,4.5,0.019999999999999574,67096.0,40.63,-1.2199999999999989,21.0,8.0,3.0,2.0,8.0,36.07,0.3400000000000034,35.35,-0.13990267639902676
2021-08-20,165136.0,36560.0,-128.0,4.52,0.019999999999999574,66084.0,40.02,-0.6099999999999994,22.0,9.0,4.0,3.0,6.0,34.09,-1.9799999999999969,34.15,-0.03394625176803402
2021-08-27,165136.0,36500.0,-60.0,4.52,0.0,65678.0,39.77,-0.25,21.0,8.0,4.0,3.0,6.0,34.11,0.01999999999999602,35.75,0.04685212298682288
2021-09-03,165136.0,36437.0,-63.0,4.53,0.010000000000000675,65978.0,39.95,0.17999999999999972,22.0,9.0,5.0,2.0,6.0,34.11,0.0,36.4,0.018181818181818143
2021-09-10,165136.0,36355.0,-82.0,4.54,0.009999999999999787,65096.0,39.42,-0.5300000000000011,20.0,7.0,5.0,2.0,6.0,34.15,0.03999999999999915,34.7,-0.046703296703296586
2021-09-17,165136.0,36348.0,-7.0,4.54,0.0,63942.0,38.72,-0.7000000000000028,18.0,7.0,3.0,2.0,6.0,34.23,0.0799999999999983,33.2,-0.04322766570605187
2021-09-24,165136.0,36305.0,-43.0,4.55,0.009999999999999787,64248.0,38.91,0.18999999999999773,19.0,8.0,4.0,1.0,6.0,34.25,0.020000000000003126,33.25,0.0015060240963854564
