年月日,open_y,high_y,low_y,close_y,open_y_2day,high_y_2day,low_y_2day,close_y_2day,open_y_5day,high_y_5day,low_y_5day,close_y_5day
2022-06-29,0.2118579525679284,1.0593187715689638,-1.2711944396912054,-0.4237336206901699,0.2118626349640053,0.423731890606522,-6.779661161524516,-6.779661161524516,0.1773175833433096,1.2757531199168104,-2.239237244959133,-1.799861354250127
2023-03-08,0.7407363518377423,4.197530156937294,-0.2469122931868725,3.209872092907319,2.962960985932912,2.962960985932912,-3.7037073145529216,-0.9876618012834426,-4.197533894190761,-2.7160467790306035,-4.691362932577481,-4.197533894190761
2021-07-19,-2.197812453792133,-1.3736282967680438,-3.021986130879315,-2.4725335195088918,-1.0988982292799725,-0.2747244771782012,-6.5934038832088735,-5.7692301311071015,5.06859328834738e-06,0.2747261537517972,-3.2967003529970245,-3.021979267838516
2022-08-16,-0.2283087578084066,1.1415507721841809,-0.4566244857101623,-0.4566244857101623,-1.1415469865517038,5.608775316456067e-06,-1.369854021875054,-0.9132312418732188,-3.4246551178274878,-2.739725323357725,-4.109584912297249,-4.109584912297249
2022-09-01,0.6607882927654398,0.8810492351080476,-3.5242368310749868,-3.0837065439734013,-3.083707853659738,-2.2026472913628776,-5.947142077500176,-5.726881138134091,-5.286351209406927,-2.8634472757303304,-5.286351209406927,-3.524238493786113
2021-11-03,3.1413672672954944,5.2356061487082535,0.5235661689998574,0.5235661689998574,3.4031405466857136,3.664916654888186,0.7853395201873496,2.3560161416390035,16.230368512417478,23.03664712487831,14.397905813333908,21.465970517731435
2022-09-26,-1.6720532294419664e-06,0.7352905770993144,-5.392160415418852,-1.7156898199079555,-2.941172666426425,-2.941172666426425,-9.313718441451847,-8.823520454969376,-4.901960255426855,-1.715687535199245,-5.392158216173068,-3.6764700284355865
2023-02-14,-0.7672574444930494,0.7672753861714561,-1.023008038140597,-0.2557465009382204,0.7672739529985052,8.951409908437068,0.5115136067287921,7.416886855857244,9.207166300199306,9.718677217956772,5.115088714398866,6.393861130662887
2021-05-10,-3.932579229536105,-1.27054622815956e-06,-9.831462241184065,-7.865167903968084,-9.550554945417918,-8.1460604902705,-16.853927183728715,-16.853927183728715,-21.34831078479592,-16.853927472382892,-23.595499762141877,-23.033705196665952
2022-12-14,1.65555385856266e-06,2.5974042959578494,-0.5194808541878967,1.8181854854976,0.7792146188569559,1.8181795780602563,-4.146393422923865e-06,0.2597321392553148,-4.935068387058181,-2.0779195695647483,-4.935068387058181,-2.597402073500343
